tpy:CQ11_00010	rRNA	750..866	5S ribosomal RNA
tpy:CQ11_02000	CDS	complement(417444..418196)	electron transfer flavoprotein subunit alpha
tpy:CQ11_02005	CDS	complement(418338..419180)	elongation factor Ts
tpy:CQ11_02010	CDS	complement(419191..420027)	30S ribosomal protein S2
tpy:CQ11_02015	CDS	420347..421054	hypothetical protein
tpy:CQ11_02020	CDS	421144..421662	peptidase
tpy:CQ11_02025	CDS	complement(421666..422568)	recombinase XerC
tpy:CQ11_02030	CDS	complement(422565..423668)	DNA processing protein DprA
tpy:CQ11_02035	CDS	complement(423665..425191)	magnesium chelatase
tpy:CQ11_02040	CDS	complement(425188..425559)	hypothetical protein
tpy:CQ11_02045	CDS	complement(425655..425966)	hypothetical protein
tpy:CQ11_02050	CDS	complement(425963..426631)	ribonuclease HII
tpy:CQ11_02055	CDS	complement(426621..427403)	peptidase S26
tpy:CQ11_02060	gene	complement(427430..429037)	pseudogene
tpy:CQ11_02070	CDS	complement(430448..430798)	rplS; 50S ribosomal protein L19
tpy:CQ11_02075	CDS	complement(430918..432273)	tRNA (guanine-N1)-methyltransferase
tpy:CQ11_02080	CDS	complement(432263..432817)	16S rRNA processing protein RimM
tpy:CQ11_02085	CDS	complement(432900..433136)	hypothetical protein
tpy:CQ11_02090	CDS	complement(433136..433588)	30S ribosomal protein S16
tpy:CQ11_02095	CDS	433896..434834	cation transporter
tpy:CQ11_02100	CDS	complement(434809..435354)	hemG; protoporphyrinogen oxidase
tpy:CQ11_02105	CDS	complement(435405..436463)	amidohydrolase
tpy:CQ11_02110	CDS	complement(436470..438011)	signal recognition particle
tpy:CQ11_02115	CDS	complement(438098..439291)	cell division protein FtsY
tpy:CQ11_02120	CDS	complement(439467..441071)	alveolysin
tpy:CQ11_02125	CDS	complement(441689..442051)	hypothetical protein
tpy:CQ11_02130	CDS	complement(442138..445713)	chromosome segregation protein SMC
tpy:CQ11_02135	CDS	complement(445851..446264)	nucleoside diphosphate kinase
tpy:CQ11_02140	CDS	complement(446337..447827)	tetrahydrofolate synthase
tpy:CQ11_02145	CDS	complement(447827..451030)	ileS; isoleucine--tRNA ligase
tpy:CQ11_02150	CDS	complement(451349..451621)	hypothetical protein
tpy:CQ11_02155	CDS	complement(451632..452723)	hypothetical protein
tpy:CQ11_02160	CDS	452831..453634	pyrroline-5-carboxylate reductase
tpy:CQ11_02165	CDS	complement(453631..454254)	hypothetical protein
tpy:CQ11_02170	gene	454253..456928	valS; pseudogene
tpy:CQ11_02175	CDS	456992..458821	long-chain fatty acid--CoA ligase
tpy:CQ11_02180	CDS	complement(458846..459157)	chorismate mutase
tpy:CQ11_02185	CDS	complement(459214..460482)	ATP-dependent protease
tpy:CQ11_02190	CDS	complement(460638..461321)	clpP; Clp protease
tpy:CQ11_02195	CDS	complement(461331..461960)	Clp protease ClpP
tpy:CQ11_02200	CDS	complement(462174..463703)	trigger factor
tpy:CQ11_02205	CDS	complement(463870..464820)	aldo/keto reductase
tpy:CQ11_02210	CDS	complement(464910..465803)	haloacid dehalogenase
tpy:CQ11_02215	CDS	complement(465800..467569)	beta-hexosaminidase
tpy:CQ11_02220	CDS	complement(467602..469023)	hypothetical protein
tpy:CQ11_02225	CDS	469275..471047	beta-glucuronidase
tpy:CQ11_02230	CDS	complement(471085..472077)	hypothetical protein
tpy:CQ11_02235	gene	complement(472522..472856)	pseudogene
tpy:CQ11_02240	CDS	complement(472856..473155)	toxin-antitoxin system protein
tpy:CQ11_02245	gene	473411..475023	pseudogene
tpy:CQ11_02250	tRNA	complement(475099..475172)	tRNA-Gly
tpy:CQ11_02255	tRNA	475290..475366	tRNA-Pro
tpy:CQ11_02260	CDS	475570..476814	pyridine nucleotide-disulfide oxidoreductase
tpy:CQ11_02265	CDS	complement(476817..477413)	hypothetical protein
tpy:CQ11_02270	CDS	complement(477658..477819)	50S ribosomal protein L32
tpy:CQ11_02275	CDS	477981..478637	hypothetical protein
tpy:CQ11_02280	CDS	478881..479813	cysteine synthase
tpy:CQ11_02285	CDS	479831..480403	serine acetyltransferase
tpy:CQ11_02290	CDS	complement(480508..480966)	ribose 5-phosphate isomerase
tpy:CQ11_02295	CDS	481058..483070	peptidase M13
tpy:CQ11_02300	CDS	483149..484138	ABC transporter
tpy:CQ11_02305	CDS	484272..486824	aminopeptidase N
tpy:CQ11_02310	CDS	486925..487446	3-methyladenine DNA glycosylase
tpy:CQ11_02315	CDS	complement(487486..487743)	PTS sugar transporter
tpy:CQ11_02320	CDS	complement(487743..489878)	4-alpha-glucanotransferase
tpy:CQ11_02325	CDS	490015..490914	acyl-CoA thioesterase
tpy:CQ11_02330	CDS	complement(491003..492685)	ABC transporter ATP-binding protein
tpy:CQ11_02335	CDS	complement(492779..493366)	single-stranded DNA-binding protein
tpy:CQ11_02340	CDS	complement(493563..495011)	ATP-binding protein
tpy:CQ11_02345	CDS	complement(495019..496533)	ABC transporter
tpy:CQ11_02350	tRNA	496656..496728	tRNA-Arg
tpy:CQ11_02355	CDS	496797..497396	oligoribonuclease
tpy:CQ11_02360	tRNA	complement(497722..497796)	tRNA-His
tpy:CQ11_02365	CDS	complement(497884..498813)	glutathione synthetase
tpy:CQ11_02370	tRNA	499007..499082	tRNA-Lys
tpy:CQ11_02375	CDS	499200..500081	glycosyltransferase
tpy:CQ11_02380	CDS	500092..501321	polysaccharide biosynthesis protein
tpy:CQ11_02385	CDS	complement(501326..502204)	glycosyl transferase
tpy:CQ11_02390	CDS	502260..503462	hypothetical protein
tpy:CQ11_02395	CDS	complement(503376..504929)	membrane protein
tpy:CQ11_02400	CDS	505064..505777	glycosyl transferase family 2
tpy:CQ11_02405	CDS	505774..506118	hypothetical protein
tpy:CQ11_02410	CDS	complement(506120..507490)	hypothetical protein
tpy:CQ11_02415	CDS	507632..508627	hypothetical protein
tpy:CQ11_02420	CDS	complement(508696..509559)	LicD family protein
tpy:CQ11_02425	CDS	complement(509571..511376)	MarR family transcriptional regulator
tpy:CQ11_02430	CDS	complement(511394..512500)	group 1 glycosyl transferase
tpy:CQ11_02435	CDS	512621..512845	hypothetical protein
tpy:CQ11_02440	CDS	512842..515517	DEAD/DEAH box helicase
tpy:CQ11_02445	CDS	515527..516243	hypothetical protein
tpy:CQ11_02450	CDS	complement(516240..517145)	pyruvate formate lyase-activating protein
tpy:CQ11_02455	CDS	complement(517233..517481)	formate acetyltransferase
tpy:CQ11_02460	CDS	complement(517508..519598)	formate acetyltransferase
tpy:CQ11_02465	CDS	complement(519840..521006)	branched-chain amino acid aminotransferase
tpy:CQ11_02470	CDS	complement(521099..521389)	hypothetical protein
tpy:CQ11_02475	CDS	complement(521778..523985)	hypothetical protein
tpy:CQ11_02480	CDS	complement(524298..525731)	aspA; aspartate ammonia-lyase
tpy:CQ11_02490	CDS	complement(525872..526897)	ketol-acid reductoisomerase
tpy:CQ11_02495	CDS	complement(526913..527446)	acetolactate synthase
tpy:CQ11_02500	CDS	complement(527443..529224)	acetolactate synthase 1 catalytic subunit
tpy:CQ11_02505	CDS	complement(529529..531133)	transporter
tpy:CQ11_02510	CDS	complement(531239..533065)	dihydroxy-acid dehydratase
tpy:CQ11_02515	CDS	complement(533095..533883)	SAM-dependent methyltransferase
tpy:CQ11_02520	rRNA	complement(533998..534114)	5S ribosomal RNA
tpy:CQ11_02525	rRNA	complement(534238..537350)	23S ribosomal RNA
tpy:CQ11_02530	rRNA	complement(537531..539062)	16S ribosomal RNA
tpy:CQ11_02540	CDS	complement(539434..540396)	zinc ABC transporter permease
tpy:CQ11_02545	CDS	complement(540393..541313)	zinc ABC transporter permease
tpy:CQ11_02550	CDS	complement(541310..542032)	manganese ABC transporter ATP-binding protein
tpy:CQ11_02555	CDS	complement(542073..543023)	iron ABC transporter substrate-binding protein
tpy:CQ11_02560	CDS	complement(543237..544493)	tyrosyl-tRNA synthetase
tpy:CQ11_02565	CDS	544688..545515	ABC transporter
tpy:CQ11_02570	CDS	545526..546332	hypothetical protein
tpy:CQ11_02575	CDS	546332..546559	XRE family transcriptional regulator
tpy:CQ11_02580	CDS	complement(546556..546981)	hypothetical protein
tpy:CQ11_02585	CDS	547169..548212	UDP-galactose-4-epimerase
tpy:CQ11_02590	CDS	complement(548270..548755)	arginine repressor
tpy:CQ11_02595	CDS	complement(548764..549906)	acetylornithine aminotransferase
tpy:CQ11_02600	CDS	550153..551097	sugar-binding protein
tpy:CQ11_02605	CDS	551098..552159	glycerol-3-phosphate dehydrogenase
tpy:CQ11_02610	CDS	complement(552176..552661)	transcriptional regulator
tpy:CQ11_02615	CDS	complement(552725..555301)	phenylalanyl-tRNA synthetase subunit beta
tpy:CQ11_02620	CDS	complement(555301..556389)	phenylalanyl-tRNA synthetase subunit alpha
tpy:CQ11_02625	CDS	complement(556510..557610)	oxidoreductase
tpy:CQ11_02630	CDS	complement(557767..558627)	RNA methyltransferase
tpy:CQ11_02635	CDS	complement(558628..559182)	dTDP-4-dehydrorhamnose 3,5-epimerase
tpy:CQ11_02640	CDS	complement(559258..559641)	50S ribosomal protein L20
tpy:CQ11_02645	CDS	complement(559653..559847)	50S ribosomal protein L35
tpy:CQ11_02650	CDS	complement(559867..560532)	translation initiation factor IF-3
tpy:CQ11_02655	CDS	complement(560742..561482)	hypothetical protein
tpy:CQ11_02660	CDS	complement(561489..562223)	phosphoribosyl isomerase
tpy:CQ11_02665	CDS	complement(562207..562854)	glutamine amidotransferase
tpy:CQ11_02670	CDS	complement(562851..563366)	hypothetical protein
tpy:CQ11_02675	CDS	complement(563363..563962)	imidazoleglycerol-phosphate dehydratase
tpy:CQ11_02680	CDS	complement(563959..565068)	histidinol-phosphate aminotransferase
tpy:CQ11_02685	CDS	complement(565065..566390)	histidinol dehydrogenase
tpy:CQ11_02690	CDS	complement(566450..567175)	UDP pyrophosphate synthase
tpy:CQ11_02695	CDS	complement(567172..567909)	DNA recombination protein RecO
tpy:CQ11_02700	CDS	complement(567973..569742)	2-isopropylmalate synthase
tpy:CQ11_02705	CDS	complement(569848..571443)	serine/threonine protein kinase
tpy:CQ11_02710	CDS	complement(571485..572186)	hypothetical protein
tpy:CQ11_02715	CDS	complement(572188..572919)	serine/threonine protein phosphatase
tpy:CQ11_02720	CDS	complement(573004..574491)	dienelactone hydrolase
tpy:CQ11_02725	CDS	complement(574491..575408)	GTPase Era
tpy:CQ11_02730	CDS	complement(575398..576663)	membrane protein
tpy:CQ11_02735	CDS	complement(576656..577168)	endoribonuclease YbeY
tpy:CQ11_02740	CDS	complement(577176..578129)	PhoH family protein
tpy:CQ11_02745	CDS	complement(578140..578865)	16S rRNA methyltransferase
tpy:CQ11_02750	CDS	complement(578862..579974)	molecular chaperone DnaJ
tpy:CQ11_02755	CDS	complement(579984..581000)	HrcA family transcriptional regulator
tpy:CQ11_02760	CDS	581096..581935	hypothetical protein
tpy:CQ11_02765	CDS	complement(581949..582572)	hypothetical protein
tpy:CQ11_02770	CDS	complement(582569..583729)	coproporphyrinogen III oxidase
tpy:CQ11_02775	CDS	complement(583722..584519)	tRNA (guanine-N7)-methyltransferase
tpy:CQ11_02780	CDS	complement(584520..586379)	GTP-binding protein LepA
tpy:CQ11_02785	CDS	586536..587180	hypothetical protein
tpy:CQ11_02790	CDS	587185..587673	membrane protein
tpy:CQ11_02795	CDS	587677..588288	hypothetical protein
tpy:CQ11_02800	CDS	588370..588579	hypothetical protein
tpy:CQ11_02805	CDS	588829..589095	30S ribosomal protein S20
tpy:CQ11_02810	CDS	complement(589601..591049)	pntB; pyridine nucleotide transhydrogenase
tpy:CQ11_02815	CDS	complement(591049..592578)	NAD(P) transhydrogenase subunit alpha
tpy:CQ11_02820	CDS	complement(592691..593653)	DNA polymerase III subunit delta
tpy:CQ11_02825	CDS	complement(593653..595803)	hypothetical protein
tpy:CQ11_02830	CDS	complement(595803..596561)	competence protein ComEA
tpy:CQ11_02835	CDS	596763..598595	ATPase
tpy:CQ11_02840	CDS	598642..599268	NADPH dehydrogenase
tpy:CQ11_02845	CDS	complement(599281..600240)	aldose epimerase
tpy:CQ11_02850	CDS	complement(600342..603209)	leucyl-tRNA synthetase
tpy:CQ11_02855	CDS	603311..603739	diadenosine tetraphosphate hydrolase
tpy:CQ11_02860	CDS	complement(603742..604404)	membrane protein
tpy:CQ11_02865	CDS	complement(604397..605155)	HAD family hydrolase
tpy:CQ11_02870	CDS	605266..606561	permease
tpy:CQ11_02875	CDS	606634..607341	deoD; purine nucleoside phosphorylase
tpy:CQ11_02880	CDS	607341..608012	DtxR family transcriptional regulator
tpy:CQ11_02885	CDS	608200..608823	thymidine kinase
tpy:CQ11_02890	CDS	609048..609353	hypothetical protein
tpy:CQ11_02895	CDS	complement(609350..609649)	ArsR family transcriptional regulator
tpy:CQ11_02900	CDS	609815..612976	hypothetical protein
tpy:CQ11_02905	CDS	612966..614489	ABC transporter substrate-binding protein
tpy:CQ11_02910	CDS	614486..615481	hypothetical protein
tpy:CQ11_02915	CDS	615478..616200	ABC transporter ATP-binding protein
tpy:CQ11_02920	CDS	616197..617042	ABC transporter ATP-binding protein
tpy:CQ11_02925	CDS	complement(617064..617996)	fructokinase
tpy:CQ11_02935	CDS	complement(618357..619820)	sulfide:quinone reductase
tpy:CQ11_02940	CDS	620385..621113	phosphatidic acid phosphatase
tpy:CQ11_02945	CDS	complement(621106..621819)	hypothetical protein
tpy:CQ11_02950	CDS	complement(621939..622133)	DNA-binding protein
tpy:CQ11_02955	CDS	complement(622130..622576)	hypothetical protein
tpy:CQ11_02960	CDS	complement(622678..624216)	amino acid transporter
tpy:CQ11_02965	CDS	624266..625942	fumarate hydratase
tpy:CQ11_02970	CDS	626195..627181	ABC transporter
tpy:CQ11_02975	gene	627238..627885	pseudogene
tpy:CQ11_02980	CDS	627970..628803	ABC transporter
tpy:CQ11_02985	CDS	628950..630359	amino acid permease
tpy:CQ11_02990	CDS	complement(630363..630683)	branched-chain amino acid transporter
tpy:CQ11_02995	CDS	complement(630680..631408)	branched-chain amino acid ABC transporter permease
tpy:CQ11_03000	CDS	complement(631472..632263)	GntR family transcriptional regulator
tpy:CQ11_03005	CDS	632391..633794	major facilitator transporter
tpy:CQ11_03010	CDS	633824..634780	nucleoside hydrolase
tpy:CQ11_03015	CDS	complement(634899..636251)	peptidase U32
tpy:CQ11_03020	CDS	636396..636638	hypothetical protein
tpy:CQ11_03025	CDS	complement(636650..637186)	glutamine amidotransferase
tpy:CQ11_03030	CDS	complement(637186..638073)	pyridoxal biosynthesis lyase PdxS
tpy:CQ11_03035	CDS	638171..639478	GntR family transcriptional regulator
tpy:CQ11_03040	CDS	complement(639475..640089)	hypothetical protein
tpy:CQ11_03045	CDS	640227..640535	hypothetical protein
tpy:CQ11_03050	CDS	640573..641271	hypothetical protein
tpy:CQ11_03055	CDS	641249..641509	hypothetical protein
tpy:CQ11_03060	CDS	complement(641506..642426)	sortase
tpy:CQ11_03065	CDS	complement(642484..643857)	hypothetical protein
tpy:CQ11_03070	CDS	complement(643956..645863)	hypothetical protein
tpy:CQ11_03075	CDS	complement(646927..649473)	hypothetical protein
tpy:CQ11_03080	CDS	complement(649692..650900)	xylanase deacetylase
tpy:CQ11_03085	CDS	651206..652555	tryptophan synthase subunit beta
tpy:CQ11_03090	CDS	complement(652772..653767)	transcriptional regulator
tpy:CQ11_03095	CDS	complement(653806..654228)	fucose isomerase
tpy:CQ11_03100	CDS	complement(654238..655500)	L-fucose permease
tpy:CQ11_03105	CDS	complement(655666..656316)	aldolase
tpy:CQ11_03110	CDS	complement(656329..657684)	hypothetical protein
tpy:CQ11_03115	CDS	complement(657691..659457)	fucI; sugar isomerase
tpy:CQ11_03120	CDS	660051..661172	hypothetical protein
tpy:CQ11_03130	CDS	complement(661902..662093)	hypothetical protein
tpy:CQ11_03135	CDS	complement(663954..664508)	hypothetical protein
tpy:CQ11_03140	CDS	complement(664557..666131)	recombinase
tpy:CQ11_03145	gene	complement(666143..667389)	pseudogene
tpy:CQ11_03150	CDS	complement(667461..667637)	AsnC family transcriptional regulator
tpy:CQ11_03155	CDS	complement(667646..668053)	hypothetical protein
tpy:CQ11_03160	CDS	complement(668209..669048)	N-acetylmuramoyl-L-alanine amidase
tpy:CQ11_03165	CDS	complement(669045..669509)	holin
tpy:CQ11_03170	CDS	complement(669592..669786)	hypothetical protein
tpy:CQ11_03175	gene	complement(669783..670238)	pseudogene
tpy:CQ11_03190	CDS	complement(674581..675273)	hypothetical protein
tpy:CQ11_03195	CDS	complement(675273..677954)	tail protein
tpy:CQ11_03200	CDS	678015..678422	hypothetical protein
tpy:CQ11_03210	CDS	complement(678597..679001)	hypothetical protein
tpy:CQ11_03215	CDS	complement(679013..679615)	phage tail protein
tpy:CQ11_03220	CDS	complement(679620..679979)	hypothetical protein
tpy:CQ11_03225	gene	complement(679976..680411)	pseudogene
tpy:CQ11_03230	CDS	680496..681074	hypothetical protein
tpy:CQ11_03235	CDS	complement(681071..681403)	phage head-tail adapter protein
tpy:CQ11_03240	CDS	complement(681410..681739)	DNA-packaging protein
tpy:CQ11_03245	CDS	complement(681772..682989)	capsid protein
tpy:CQ11_03250	CDS	complement(683011..683880)	Clp protease ClpP
tpy:CQ11_03255	CDS	complement(683877..685205)	portal protein
tpy:CQ11_03260	CDS	685228..685518	hypothetical protein
tpy:CQ11_03265	gene	complement(685504..687101)	pseudogene
tpy:CQ11_03270	CDS	complement(687205..687411)	hypothetical protein
tpy:CQ11_03275	CDS	complement(687639..687968)	nucleotidyltransferase
tpy:CQ11_03280	CDS	complement(688018..688689)	hypothetical protein
tpy:CQ11_03285	CDS	complement(688686..688871)	cell division protein
tpy:CQ11_03290	CDS	complement(688994..690244)	lactate dehydrogenase
tpy:CQ11_03295	CDS	complement(690216..691409)	S-adenosylmethionine synthetase
tpy:CQ11_03300	CDS	complement(691493..692068)	terminase
tpy:CQ11_03305	CDS	692228..693187	hypothetical protein
tpy:CQ11_03320	CDS	complement(695694..696098)	HNH endonuclease
tpy:CQ11_03325	CDS	complement(696253..696717)	hypothetical protein
tpy:CQ11_03330	CDS	complement(696705..698081)	DEAD/DEAH box helicase
tpy:CQ11_03335	CDS	complement(698062..698340)	nuclease
tpy:CQ11_03340	CDS	complement(698471..700735)	hypothetical protein
tpy:CQ11_03345	CDS	complement(700732..701181)	hypothetical protein
tpy:CQ11_03350	CDS	complement(701178..701945)	BRO family protein
tpy:CQ11_03365	CDS	702328..702621	hypothetical protein
tpy:CQ11_03370	CDS	complement(702755..703000)	hypothetical protein
tpy:CQ11_03375	CDS	complement(703465..705426)	DNA polymerase
tpy:CQ11_03380	CDS	complement(705501..705689)	hypothetical protein
tpy:CQ11_03385	CDS	complement(705716..706267)	hypothetical protein
tpy:CQ11_03390	gene	complement(706294..707429)	pseudogene
tpy:CQ11_03395	CDS	complement(707422..707856)	hypothetical protein
tpy:CQ11_03400	CDS	complement(707853..708098)	hypothetical protein
tpy:CQ11_03405	CDS	complement(708194..708733)	RNA polymerase subunit sigma-70
tpy:CQ11_03410	CDS	709119..710036	hypothetical protein
tpy:CQ11_03415	CDS	710036..710683	hypothetical protein
tpy:CQ11_03420	CDS	710680..710886	transcriptional regulator
tpy:CQ11_03425	CDS	710888..713179	hypothetical protein
tpy:CQ11_03430	CDS	713176..713388	XRE family transcriptional regulator
tpy:CQ11_03435	CDS	713381..716656	hsdR; type I restriction enzyme EcoKI subunit R
tpy:CQ11_03440	CDS	716653..718056	SAM-dependent methyltransferase
tpy:CQ11_03445	CDS	718056..719339	type I restriction modification protein
tpy:CQ11_03450	CDS	719755..720924	transposase
tpy:CQ11_03455	tRNA	complement(721031..721106)	tRNA-Ala
tpy:CQ11_03460	CDS	complement(721224..721892)	phosphoglycerate mutase
tpy:CQ11_03465	CDS	complement(721889..722335)	iojap-like ribosome-associated protein
tpy:CQ11_03470	CDS	complement(722349..723137)	hypothetical protein
tpy:CQ11_03475	CDS	complement(723134..723811)	nicotinate-nucleotide adenylyltransferase
tpy:CQ11_03480	CDS	724106..724474	thioredoxin
tpy:CQ11_03485	CDS	complement(724579..725511)	hypothetical protein
tpy:CQ11_03495	CDS	complement(726006..727520)	obgE; GTPase CgtA
tpy:CQ11_03500	CDS	complement(727609..727863)	50S ribosomal protein L27
tpy:CQ11_03505	CDS	complement(727903..728208)	50S ribosomal protein L21
tpy:CQ11_03510	CDS	complement(728387..730630)	ribonuclease
tpy:CQ11_03515	CDS	731078..732589	cytochrome BD ubiquinol oxidase subunit I
tpy:CQ11_03520	CDS	732599..733732	cytochrome C oxidase assembly protein
tpy:CQ11_03525	CDS	733914..735707	cysteine ABC transporter permease
tpy:CQ11_03530	CDS	735707..737470	ABC transporter
tpy:CQ11_03535	CDS	737512..739164	histidine kinase
tpy:CQ11_03540	CDS	complement(739156..740826)	ABC transporter permease
tpy:CQ11_03545	CDS	complement(740823..742481)	ABC transporter ATP-binding protein
tpy:CQ11_03550	CDS	742842..743405	alkyl hydroperoxide reductase
tpy:CQ11_03555	CDS	743405..744940	alkyl hydroperoxide reductase
tpy:CQ11_03560	CDS	complement(744993..745637)	LuxR family transcriptional regulator
tpy:CQ11_03565	CDS	complement(745647..746555)	5-hydroxymethyluracil DNA glycosylase
tpy:CQ11_03570	CDS	complement(746556..747236)	ribonuclease III
tpy:CQ11_03575	CDS	complement(747229..747795)	hypothetical protein
tpy:CQ11_03580	CDS	complement(747792..748298)	hypothetical protein
tpy:CQ11_03585	CDS	complement(748295..748768)	phosphopantetheine adenylyltransferase
tpy:CQ11_03590	CDS	complement(748765..749331)	methyltransferase
tpy:CQ11_03595	CDS	complement(749328..751541)	ATP-dependent DNA helicase RecG
tpy:CQ11_03600	CDS	751718..751909	50S ribosomal protein L28
tpy:CQ11_03605	CDS	752272..753138	hypothetical protein
tpy:CQ11_03610	CDS	complement(753135..754097)	thiamine-monophosphate kinase
tpy:CQ11_03615	CDS	complement(754162..754704)	NADPH-dependent FMN reductase
tpy:CQ11_03620	CDS	complement(754840..755949)	D-alanine--D-alanine ligase
tpy:CQ11_03625	CDS	complement(755968..757293)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
tpy:CQ11_03630	CDS	757405..757995	hypothetical protein
tpy:CQ11_03635	CDS	758089..759555	peptidase C69
tpy:CQ11_03640	CDS	759688..760413	IclR family transcriptional regulator
tpy:CQ11_03645	CDS	760443..761588	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
tpy:CQ11_03650	CDS	761588..762400	hypothetical protein
tpy:CQ11_03655	CDS	complement(762469..762900)	hypothetical protein
tpy:CQ11_03660	CDS	complement(762960..763868)	hypothetical protein
tpy:CQ11_03665	CDS	764008..766029	hypothetical protein
tpy:CQ11_03670	tRNA	complement(766296..766368)	tRNA-Glu
tpy:CQ11_03675	tRNA	complement(766821..766893)	tRNA-Glu
tpy:CQ11_03680	tRNA	complement(766934..767008)	tRNA-Gln
tpy:CQ11_03685	CDS	767289..768626	ABC transporter substrate-binding protein
tpy:CQ11_03690	CDS	768678..769523	ABC transporter permease
tpy:CQ11_03695	CDS	769568..770440	hypothetical protein
tpy:CQ11_03700	CDS	770500..771525	LacI family transcriptional regulator
tpy:CQ11_03705	CDS	771522..772130	hypothetical protein
tpy:CQ11_03710	CDS	complement(772422..773852)	glutamyl-tRNA synthetase
tpy:CQ11_03715	CDS	773944..775113	aminotransferase class I/II
tpy:CQ11_03720	CDS	complement(775110..775877)	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase
tpy:CQ11_03730	gene	776376..777542	pseudogene
tpy:CQ11_03735	tRNA	complement(777546..777627)	tRNA-Leu
tpy:CQ11_03740	CDS	complement(777692..778168)	peroxiredoxin
tpy:CQ11_03745	CDS	complement(778202..778519)	hypothetical protein
tpy:CQ11_03750	CDS	778637..779167	ADP-ribose pyrophosphatase
tpy:CQ11_03755	CDS	complement(779173..779766)	nucleoside-triphosphate diphosphatase
tpy:CQ11_03760	CDS	complement(779763..780533)	rph; ribonuclease PH
tpy:CQ11_03765	CDS	complement(780564..781358)	beta-lactamase
tpy:CQ11_03770	CDS	complement(781355..782149)	glutamate racemase
tpy:CQ11_03775	CDS	complement(782181..782840)	hypothetical protein
tpy:CQ11_03780	CDS	complement(782834..783145)	Clp protease ClpS
tpy:CQ11_03785	CDS	783234..784589	nicotinate phosphoribosyltransferase
tpy:CQ11_03790	CDS	complement(784602..786371)	hypothetical protein
tpy:CQ11_03795	CDS	complement(786368..786721)	hypothetical protein
tpy:CQ11_03800	CDS	complement(787216..787497)	integration host factor
tpy:CQ11_03805	CDS	complement(787691..789259)	transporter
tpy:CQ11_03810	CDS	complement(789350..789739)	hypothetical protein
tpy:CQ11_03815	CDS	789786..790391	hypothetical protein
tpy:CQ11_03820	CDS	complement(790388..791209)	NAD synthetase
tpy:CQ11_03825	CDS	791320..791799	GCN5 family acetyltransferase
tpy:CQ11_03830	CDS	791802..792299	acetyltransferase
tpy:CQ11_03835	CDS	complement(792410..797272)	hypothetical protein
tpy:CQ11_03840	CDS	797461..797766	hypothetical protein
tpy:CQ11_03845	CDS	797843..798646	SAM-dependent methyltransferase
tpy:CQ11_03850	CDS	799788..799919	transposase
tpy:CQ11_03855	CDS	complement(800858..801112)	hypothetical protein
tpy:CQ11_03860	CDS	801237..801665	MarR family transcriptional regulator
tpy:CQ11_03865	CDS	802093..803994	excinuclease ABC subunit A
tpy:CQ11_03870	CDS	complement(804025..804276)	toxin
tpy:CQ11_03875	CDS	complement(804279..804527)	CopG family transcriptional regulator
tpy:CQ11_03880	CDS	complement(805134..805700)	hypothetical protein
tpy:CQ11_03885	CDS	805785..806882	peptidase
tpy:CQ11_03890	CDS	complement(806875..807639)	HAD family hydrolase
tpy:CQ11_03895	CDS	complement(807736..808269)	single-stranded DNA-binding protein
tpy:CQ11_03900	CDS	complement(808376..809707)	peptidase M23
tpy:CQ11_03905	CDS	complement(809716..810624)	cell division protein FtsX
tpy:CQ11_03910	CDS	complement(810621..811313)	hypothetical protein
tpy:CQ11_03915	CDS	complement(811467..812597)	prfB; peptide chain release factor 2
tpy:CQ11_03920	CDS	complement(812607..813053)	hypothetical protein
tpy:CQ11_03925	CDS	complement(813050..813484)	hypothetical protein
tpy:CQ11_03930	CDS	complement(813468..813758)	pilus assembly protein TadE
tpy:CQ11_03935	CDS	complement(813808..814002)	hypothetical protein
tpy:CQ11_03940	CDS	complement(814015..814872)	pilus assembly protein TadB
tpy:CQ11_03945	CDS	complement(814865..815680)	type II secretion system protein F
tpy:CQ11_03950	CDS	complement(815665..816873)	pilus assembly protein CpaF
tpy:CQ11_03955	CDS	817105..818142	aminoglycoside phosphotransferase
tpy:CQ11_03960	CDS	complement(818139..821513)	hypothetical protein
tpy:CQ11_03965	CDS	complement(821510..824455)	hypothetical protein
tpy:CQ11_03970	CDS	824703..824924	ATP-binding protein
tpy:CQ11_03975	CDS	825200..826792	DNA helicase
tpy:CQ11_03980	CDS	complement(826785..827405)	antibiotic resistance protein MarC
tpy:CQ11_03985	CDS	complement(827402..828253)	metal-dependent phosphoesterase
tpy:CQ11_03990	CDS	828334..829818	Xaa-Pro aminopeptidase
tpy:CQ11_03995	CDS	829858..831171	magnesium transporter
tpy:CQ11_04000	CDS	831164..831727	membrane protein
tpy:CQ11_04005	CDS	831738..832880	sodium:proton antiporter
tpy:CQ11_04010	CDS	832984..833610	methyltransferase
tpy:CQ11_04020	CDS	complement(833844..834611)	DNA-binding protein
tpy:CQ11_04025	CDS	834769..835584	purine nucleoside phosphorylase
tpy:CQ11_04030	CDS	835584..837266	phosphomannomutase
tpy:CQ11_04035	CDS	complement(837413..838180)	TetR family transcriptional regulator
tpy:CQ11_04040	CDS	838271..839506	MFS transporter
tpy:CQ11_04045	CDS	complement(839891..840544)	deoxyribose-phosphate aldolase
