pkt:AT984_00010	rRNA	627..739	5S ribosomal RNA
pkt:AT984_04330	gene	complement(990731..991831)	pseudogene
pkt:AT984_04335	CDS	complement(991891..993417)	transposase
pkt:AT984_04340	CDS	993549..995078	integrase
pkt:AT984_04345	CDS	995068..995904	AAA family ATPase
pkt:AT984_04350	CDS	996064..997590	transposase
pkt:AT984_04355	CDS	998342..998923	hypothetical protein
pkt:AT984_04360	CDS	1000745..1001161	hypothetical protein
pkt:AT984_04365	CDS	1001162..1001389	hypothetical protein
pkt:AT984_04370	CDS	complement(1001543..1001749)	transposase
pkt:AT984_04375	gene	1002167..1003717	pseudogene
pkt:AT984_04380	CDS	1003741..1004478	AAA family ATPase
pkt:AT984_04385	gene	complement(1004641..1005360)	pseudogene
pkt:AT984_04390	CDS	complement(1005384..1005647)	transposase
pkt:AT984_04395	CDS	complement(1005592..1006113)	hypothetical protein
pkt:AT984_04400	CDS	1006172..1006438	transposase
pkt:AT984_04405	CDS	1006471..1007298	transposase
pkt:AT984_04410	CDS	1007356..1007610	hypothetical protein
pkt:AT984_04415	CDS	1011481..1011744	transposase
pkt:AT984_04420	gene	1011780..1012475	pseudogene
pkt:AT984_04425	CDS	complement(1012597..1013628)	transposase
pkt:AT984_04430	CDS	complement(1013816..1014082)	transposase
pkt:AT984_04435	CDS	1014133..1014870	hypothetical protein
pkt:AT984_04440	CDS	complement(1015672..1016436)	flagellar biosynthetic protein FliR
pkt:AT984_04445	CDS	complement(1016438..1016707)	flagellar biosynthetic protein FliQ
pkt:AT984_04450	CDS	complement(1016782..1017555)	fliP; flagellar biosynthesis protein flip
pkt:AT984_04455	CDS	complement(1017545..1017907)	flagellar biogenesis protein
pkt:AT984_04460	CDS	complement(1018010..1018447)	flagellar motor switch protein FliN
pkt:AT984_04465	CDS	complement(1018437..1019441)	fliM; flagellar motor switch protein FliM
pkt:AT984_04470	CDS	complement(1019473..1020069)	flagellar basal body rod protein
pkt:AT984_04475	CDS	complement(1020241..1021680)	hypothetical protein
pkt:AT984_04480	CDS	complement(1021691..1022161)	hypothetical protein
pkt:AT984_04485	CDS	complement(1022235..1023617)	flagellar protein export ATPase FliI
pkt:AT984_04490	gene	complement(1023809..1024534)	pseudogene
pkt:AT984_04495	CDS	complement(1024567..1025562)	fliG; flagellar motor switch protein G
pkt:AT984_04500	CDS	complement(1025602..1027302)	flagellar M-ring protein FliF
pkt:AT984_04505	CDS	1027552..1027875	flagellar hook-basal body protein
pkt:AT984_04510	CDS	complement(1027916..1028428)	hypothetical protein
pkt:AT984_04515	CDS	complement(1028582..1029103)	hypothetical protein
pkt:AT984_04520	CDS	complement(1029100..1029873)	hypothetical protein
pkt:AT984_04525	CDS	complement(1029938..1030237)	flagellar export protein FliJ
pkt:AT984_04530	CDS	complement(1030297..1030728)	hypothetical protein
pkt:AT984_04535	CDS	complement(1030929..1032386)	hypothetical protein
pkt:AT984_04540	CDS	complement(1032550..1033395)	flagellin
pkt:AT984_04545	CDS	complement(1033723..1034565)	flagellin
pkt:AT984_04550	CDS	complement(1034929..1035768)	flagellin
pkt:AT984_04555	CDS	complement(1036014..1036226)	hypothetical protein
pkt:AT984_04560	CDS	1036540..1037055	hypothetical protein
pkt:AT984_04565	CDS	1037407..1037730	flagellar transcriptional regulator FlhD
pkt:AT984_04570	CDS	1037893..1038429	transcriptional regulator
pkt:AT984_04575	CDS	complement(1038453..1040231)	hypothetical protein
pkt:AT984_04580	gene	complement(1040234..1041555)	pseudogene
pkt:AT984_04585	CDS	1041915..1042238	flagellar transcriptional regulator FlhD
pkt:AT984_04590	CDS	1042402..1042938	transcriptional regulator
pkt:AT984_04595	CDS	1042942..1043991	hypothetical protein
pkt:AT984_04600	CDS	1044202..1044525	flagellar transcriptional regulator FlhD
pkt:AT984_04605	CDS	1044564..1045100	transcriptional regulator
pkt:AT984_04610	CDS	1045129..1045857	methyltransferase type 12
pkt:AT984_04615	CDS	1045970..1046827	flagellar motor stator protein MotA
pkt:AT984_04620	CDS	1046895..1047860	flagellar motor protein MotB
pkt:AT984_04625	CDS	1047888..1048280	two-component system response regulator
pkt:AT984_04630	CDS	1048295..1048936	chemotaxis protein CheZ
pkt:AT984_04635	CDS	1049166..1050356	flagellar biosynthetic protein FlhB
pkt:AT984_04640	CDS	1050353..1052449	flagellar biosynthesis protein FlhA
pkt:AT984_04645	CDS	1052529..1054235	flagellar biosynthesis protein FlhF
pkt:AT984_04650	CDS	1054260..1055111	hypothetical protein
pkt:AT984_04655	CDS	1055130..1055843	fliA; flagellar biosynthesis sigma factor
pkt:AT984_04660	CDS	1055948..1057327	chemotaxis protein
pkt:AT984_04665	CDS	complement(1057419..1059299)	hypothetical protein
pkt:AT984_04670	CDS	complement(1059330..1061585)	histidine kinase
pkt:AT984_04675	CDS	complement(1061582..1061989)	hypothetical protein
pkt:AT984_04680	CDS	1062411..1063739	hypothetical protein
pkt:AT984_04685	CDS	complement(1063815..1064426)	response regulator
pkt:AT984_04690	CDS	complement(1064626..1068180)	hypothetical protein
pkt:AT984_04695	CDS	complement(1068243..1069421)	histidine kinase
pkt:AT984_04700	CDS	complement(1069546..1070754)	hypothetical protein
pkt:AT984_04705	CDS	complement(1070869..1072860)	flagellar hook protein
pkt:AT984_04710	CDS	complement(1072883..1073752)	glucosaminidase
pkt:AT984_04715	CDS	complement(1073754..1074872)	flagellar biosynthesis protein FlgI
pkt:AT984_04720	CDS	complement(1074918..1075595)	flagellar biosynthesis protein FlgH
pkt:AT984_04725	CDS	complement(1075604..1076386)	flgG; flagellar basal-body rod protein FlgG
pkt:AT984_04730	CDS	complement(1076399..1077124)	flgF; flagellar biosynthesis protein FlgF
pkt:AT984_04735	CDS	complement(1077151..1078461)	flgE; flagellar biosynthesis protein FlgE
pkt:AT984_04740	CDS	complement(1078500..1079162)	hypothetical protein
pkt:AT984_04745	CDS	complement(1079197..1079610)	flagellar basal-body rod protein FlgC
pkt:AT984_04750	CDS	complement(1079657..1080070)	flagellar biosynthesis protein FlgB
pkt:AT984_04755	CDS	1080257..1080991	hypothetical protein
pkt:AT984_04760	CDS	1081104..1081445	hypothetical protein
pkt:AT984_04765	CDS	1081566..1081967	hypothetical protein
pkt:AT984_04770	CDS	complement(1082121..1082552)	hypothetical protein
pkt:AT984_04775	CDS	complement(1082717..1084534)	potassium transporter
pkt:AT984_04780	CDS	complement(1084534..1085163)	hypothetical protein
pkt:AT984_04785	CDS	1085351..1085992	cobyrinic acid a,c-diamide synthase
pkt:AT984_04790	CDS	1085985..1086440	dehydratase
pkt:AT984_04795	CDS	1086568..1087320	two-component system response regulator
pkt:AT984_04800	CDS	complement(1087417..1088271)	segregation and condensation protein A
pkt:AT984_04805	CDS	complement(1088317..1088520)	acetyl-CoA carboxyl transferase
pkt:AT984_04810	CDS	complement(1088553..1090250)	sulfate transporter
pkt:AT984_04815	CDS	complement(1090364..1092409)	methionine--tRNA ligase
pkt:AT984_04820	CDS	complement(1092596..1092784)	hypothetical protein
pkt:AT984_04825	CDS	1093454..1094263	septum site-determining protein MinC
pkt:AT984_04830	CDS	1094357..1095172	septum site-determining protein MinD
pkt:AT984_04835	CDS	1095185..1095445	cell division topological specificity factor MinE
pkt:AT984_04840	CDS	complement(1095509..1097041)	glycine/betaine ABC transporter permease
pkt:AT984_04845	CDS	complement(1097120..1097407)	hypothetical protein
pkt:AT984_04850	CDS	complement(1097404..1097994)	glycerol acyltransferase
pkt:AT984_04855	CDS	1098436..1100133	hypothetical protein
pkt:AT984_04860	CDS	1100304..1102214	peptidase M3
pkt:AT984_04865	CDS	1102214..1102720	metal-dependent hydrolase
pkt:AT984_04870	gene	1102717..1103631	pseudogene
pkt:AT984_04875	CDS	1103727..1104113	translation initiation factor SUI1
pkt:AT984_04880	CDS	complement(1104169..1105935)	histidine kinase
pkt:AT984_04885	CDS	1106160..1107578	ATP-dependent RNA helicase
pkt:AT984_04890	CDS	1107788..1108006	hypothetical protein
pkt:AT984_04895	CDS	complement(1108093..1109895)	glutamine--tRNA ligase
pkt:AT984_04900	CDS	complement(1110048..1110854)	hypothetical protein
pkt:AT984_04905	CDS	complement(1110919..1111761)	LytR family transcriptional regulator
pkt:AT984_04910	CDS	complement(1111805..1112920)	hypothetical protein
pkt:AT984_04915	CDS	complement(1113019..1113573)	hypothetical protein
pkt:AT984_04920	CDS	complement(1113734..1115275)	ATP-binding protein
pkt:AT984_04925	CDS	1115363..1116088	hypothetical protein
pkt:AT984_04930	CDS	1116085..1117365	phosphoribosylamine--glycine ligase
pkt:AT984_04935	CDS	1117395..1118006	hypothetical protein
pkt:AT984_04940	CDS	1118009..1118944	coproporphyrinogen III oxidase
pkt:AT984_04945	CDS	1118935..1119549	hypothetical protein
pkt:AT984_04950	CDS	1119557..1120363	hypothetical protein
pkt:AT984_04955	CDS	1120379..1120846	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
pkt:AT984_04960	CDS	1120866..1121471	septum formation inhibitor Maf
pkt:AT984_04965	CDS	1121547..1123037	ribonuclease
pkt:AT984_04970	CDS	1123293..1124609	translocation protein TolB
pkt:AT984_04975	CDS	1124699..1125247	peptidoglycan-binding protein
pkt:AT984_04980	CDS	1125249..1126031	tol-pal system protein
pkt:AT984_04985	CDS	1126135..1126938	heme biosynthesis protein HemY
pkt:AT984_04990	tRNA	1126992..1127067	tRNA-Lys
pkt:AT984_04995	tRNA	1127159..1127234	tRNA-Lys
pkt:AT984_05000	CDS	1127388..1127726	hypothetical protein
pkt:AT984_05005	CDS	complement(1128137..1129273)	phosphoribosylformylglycinamidine cyclo-ligase
pkt:AT984_05010	CDS	1129318..1131582	hypothetical protein
pkt:AT984_05015	CDS	1131635..1131961	nucleoid-associated protein
pkt:AT984_05020	CDS	1132101..1132682	recR; recombination protein RecR
pkt:AT984_05025	CDS	1132748..1133140	hypothetical protein
pkt:AT984_05030	gene	complement(1133275..1134837)	pseudogene
pkt:AT984_05035	CDS	complement(1134834..1135652)	hydroxyacylglutathione hydrolase
pkt:AT984_05040	CDS	1135679..1136452	methyltransferase type 11
pkt:AT984_05045	CDS	1136503..1136946	rnhA; ribonuclease H
pkt:AT984_05050	CDS	1137131..1138348	RND transporter
pkt:AT984_05055	CDS	1138356..1141421	multidrug transporter AcrB
pkt:AT984_05060	CDS	1141577..1143109	hypothetical protein
pkt:AT984_05065	CDS	1143168..1143737	dcd; deoxycytidine triphosphate deaminase
pkt:AT984_05070	CDS	1143844..1144197	hypothetical protein
pkt:AT984_05075	CDS	complement(1144295..1144558)	hypothetical protein
pkt:AT984_05080	CDS	complement(1144800..1146356)	hypothetical protein
pkt:AT984_05085	CDS	1146666..1147913	glutamate carboxypeptidase
pkt:AT984_05090	CDS	1148148..1150334	dipeptidyl-peptidase 7
pkt:AT984_05095	CDS	1150474..1150848	glyoxalase
pkt:AT984_05100	CDS	1150884..1151444	GCN5 family acetyltransferase
pkt:AT984_05105	CDS	complement(1151492..1152643)	lldD; alpha-hydroxy-acid oxidizing enzyme
pkt:AT984_05110	CDS	complement(1152675..1153928)	DNA polymerase IV
pkt:AT984_05115	CDS	1154132..1155529	chemotaxis protein
pkt:AT984_05120	CDS	1156150..1156902	hypothetical protein
pkt:AT984_05125	CDS	complement(1156908..1157393)	hemerythrin
pkt:AT984_05130	CDS	1157663..1158247	hypothetical protein
pkt:AT984_05135	CDS	complement(1158430..1159128)	PhoB family transcriptional regulator
pkt:AT984_05140	CDS	complement(1159135..1159530)	hypothetical protein
pkt:AT984_05145	CDS	complement(1159551..1161206)	hypothetical protein
pkt:AT984_05150	CDS	complement(1161220..1162659)	argininosuccinate lyase
pkt:AT984_05155	CDS	1162920..1163861	hypothetical protein
pkt:AT984_05160	CDS	1163927..1164772	hypothetical protein
pkt:AT984_05165	CDS	1164975..1166702	sulfonate ABC transporter permease
pkt:AT984_05170	CDS	1166717..1168015	nitrate ABC transporter ATP-binding protein
pkt:AT984_05175	CDS	complement(1168064..1168267)	hypothetical protein
pkt:AT984_05180	CDS	complement(1168317..1171163)	phosphoenolpyruvate carboxylase
pkt:AT984_05185	CDS	1171305..1172249	porphobilinogen deaminase
pkt:AT984_05190	CDS	1172252..1173037	hypothetical protein
pkt:AT984_05195	CDS	1173126..1174184	hypothetical protein
pkt:AT984_05200	CDS	1174207..1175454	porphyrin biosynthesis protein
pkt:AT984_05205	tRNA	1175516..1175592	tRNA-Arg
pkt:AT984_05210	tRNA	1175860..1175936	tRNA-Arg
pkt:AT984_05215	CDS	complement(1175991..1177064)	carnitine dehydratase
pkt:AT984_05220	CDS	1177145..1177723	transcription elongation factor GreB
pkt:AT984_05225	CDS	complement(1177766..1180054)	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
pkt:AT984_05230	CDS	complement(1180163..1180366)	DNA-directed RNA polymerase subunit omega
pkt:AT984_05235	CDS	complement(1180391..1181011)	guanylate kinase
pkt:AT984_05240	gene	1181251..1181652	pseudogene
pkt:AT984_05245	CDS	1181875..1184049	hypothetical protein
pkt:AT984_05250	CDS	1184278..1185120	hypothetical protein
pkt:AT984_05255	CDS	complement(1185169..1186146)	lytic transglycosylase
pkt:AT984_05260	CDS	1186531..1187313	hypothetical protein
pkt:AT984_05265	CDS	1187492..1188202	succinyl-CoA--3-ketoacid-CoA transferase
pkt:AT984_05270	CDS	1188202..1188840	succinyl-CoA--3-ketoacid-CoA transferase
pkt:AT984_05275	CDS	1188865..1190730	gamma-glutamyltransferase
pkt:AT984_05280	CDS	complement(1190767..1192026)	hypothetical protein
pkt:AT984_05285	CDS	complement(1192094..1192564)	hypothetical protein
pkt:AT984_05290	CDS	complement(1192631..1193122)	hypothetical protein
pkt:AT984_05295	CDS	1193192..1195711	hypothetical protein
pkt:AT984_05300	CDS	complement(1195762..1196697)	lytic transglycosylase
pkt:AT984_05305	gene	complement(1197075..1199069)	pseudogene
pkt:AT984_05310	CDS	complement(1199066..1200055)	hypothetical protein
pkt:AT984_05315	CDS	complement(1200078..1201016)	AAA family ATPase
pkt:AT984_05320	CDS	1201084..1202019	deacetylase
pkt:AT984_05325	CDS	1202169..1203437	mechanosensitive ion channel protein
pkt:AT984_05330	CDS	complement(1203520..1205769)	hypothetical protein
pkt:AT984_05335	CDS	complement(1205782..1206222)	(2Fe-2S)-binding protein
pkt:AT984_05340	CDS	1206303..1207127	hypothetical protein
pkt:AT984_05345	CDS	1207153..1208307	hypothetical protein
pkt:AT984_05350	CDS	1208456..1208881	hypothetical protein
pkt:AT984_05355	gene	1208881..1209897	pseudogene
pkt:AT984_05360	CDS	1210128..1211312	FAD/NAD(P)-binding oxidoreductase
pkt:AT984_05365	CDS	1211318..1211896	hypothetical protein
pkt:AT984_05370	CDS	1211893..1212825	class III cytochrome C family protein
pkt:AT984_05375	CDS	1213019..1214752	hypothetical protein
pkt:AT984_05380	CDS	1214824..1215666	hypothetical protein
pkt:AT984_05385	CDS	1215687..1216883	hypothetical protein
pkt:AT984_05390	CDS	complement(1216937..1217629)	hypothetical protein
pkt:AT984_05395	CDS	complement(1217855..1219642)	hypothetical protein
pkt:AT984_05400	CDS	1219886..1220539	hypothetical protein
pkt:AT984_05405	CDS	1220539..1223115	hypothetical protein
pkt:AT984_05410	CDS	1223225..1223899	hypothetical protein
pkt:AT984_05415	CDS	1224195..1226927	hypothetical protein
pkt:AT984_05420	CDS	complement(1227050..1228678)	hypothetical protein
pkt:AT984_05425	CDS	complement(1228678..1231224)	hypothetical protein
pkt:AT984_05430	CDS	1231607..1232434	hypothetical protein
pkt:AT984_05435	CDS	1232635..1233534	hypothetical protein
pkt:AT984_05440	CDS	complement(1233569..1234702)	pyruvate-binding protein
pkt:AT984_05445	CDS	1235138..1235758	glutathione S-transferase
pkt:AT984_05450	CDS	complement(1235779..1236528)	hypothetical protein
pkt:AT984_05455	CDS	complement(1236582..1237586)	hypothetical protein
pkt:AT984_05460	CDS	1237974..1238957	hypothetical protein
pkt:AT984_05465	CDS	1238971..1239381	hypothetical protein
pkt:AT984_05470	CDS	1239481..1240575	histidine kinase
pkt:AT984_05475	CDS	1240572..1241351	two-component system response regulator
pkt:AT984_05480	CDS	complement(1241429..1243225)	chemotaxis protein
pkt:AT984_05485	CDS	complement(1243408..1244325)	hypothetical protein
pkt:AT984_05490	CDS	complement(1244558..1246111)	fumarate hydratase
pkt:AT984_05495	CDS	1246243..1247421	nhaA; sodium:proton antiporter
pkt:AT984_05500	CDS	complement(1247428..1248057)	hypothetical protein
pkt:AT984_05505	CDS	1248274..1250235	acetyl-coenzyme A synthetase
pkt:AT984_05510	CDS	complement(1250509..1250838)	cytochrome C'
pkt:AT984_05515	CDS	1251050..1251304	hypothetical protein
pkt:AT984_05520	CDS	1251525..1253594	gluconolaconase
pkt:AT984_05525	CDS	1253682..1254182	hypothetical protein
pkt:AT984_05530	CDS	complement(1254309..1255379)	selenide, water dikinase
pkt:AT984_05535	CDS	1255494..1256360	phosphonate ABC transporter substrate-binding protein
pkt:AT984_05540	gene	1256383..1257159	pseudogene
pkt:AT984_05545	CDS	1257228..1258082	ABC transporter permease
pkt:AT984_05550	CDS	1258079..1258903	phosphonate ABC transporter permease
pkt:AT984_05555	CDS	complement(1258993..1259826)	peptidylprolyl isomerase
pkt:AT984_05560	CDS	complement(1260327..1260986)	hypothetical protein
pkt:AT984_05565	CDS	complement(1261049..1262833)	hypothetical protein
pkt:AT984_05570	CDS	complement(1262906..1263985)	hypothetical protein
pkt:AT984_05575	CDS	complement(1264050..1264427)	hypothetical protein
pkt:AT984_05580	gene	1264825..1268373	pseudogene
pkt:AT984_05585	gene	1268642..1269862	pseudogene
pkt:AT984_05590	CDS	complement(1270026..1271765)	lipid ABC transporter permease
pkt:AT984_05595	CDS	1271804..1272925	glycosyltransferase
pkt:AT984_05600	CDS	complement(1272922..1273947)	hypothetical protein
pkt:AT984_05605	CDS	complement(1273947..1274918)	hypothetical protein
pkt:AT984_05610	CDS	complement(1274938..1275678)	glycosyltransferase
pkt:AT984_05615	CDS	complement(1275793..1276947)	hypothetical protein
pkt:AT984_05620	CDS	complement(1276937..1277236)	hypothetical protein
pkt:AT984_05625	CDS	complement(1277304..1277609)	integration host factor subunit beta
pkt:AT984_05630	CDS	complement(1277860..1279569)	rpsA; 30S ribosomal protein S1
pkt:AT984_05635	CDS	complement(1279729..1281828)	cytidylate kinase
pkt:AT984_05640	CDS	complement(1281946..1282824)	prephenate dehydrogenase
pkt:AT984_05645	CDS	complement(1282858..1283982)	chorismate mutase
pkt:AT984_05650	CDS	complement(1283975..1285096)	3-phosphoserine/phosphohydroxythreonine aminotransferase
pkt:AT984_05655	CDS	complement(1285189..1285773)	hypothetical protein
pkt:AT984_05660	CDS	complement(1285797..1288475)	DNA gyrase subunit A
pkt:AT984_05665	CDS	1288742..1289395	hypothetical protein
pkt:AT984_05670	CDS	1289491..1290192	bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase
pkt:AT984_05675	CDS	1290189..1290890	phosphoglycolate phosphatase
pkt:AT984_05680	CDS	complement(1291582..1292061)	LacI family transcriptional regulator
pkt:AT984_05685	CDS	complement(1292058..1292429)	site-specific recombinase resolvase
pkt:AT984_05690	CDS	complement(1292429..1293817)	recombinase
pkt:AT984_05695	CDS	complement(1293814..1294266)	elements of external origin
pkt:AT984_05700	CDS	1294685..1294963	XRE family transcriptional regulator
pkt:AT984_05705	CDS	1294964..1295800	hypothetical protein
pkt:AT984_05710	CDS	1295903..1297339	hypothetical protein
pkt:AT984_05715	CDS	1297353..1298285	hypothetical protein
pkt:AT984_05720	CDS	1298371..1298634	hypothetical protein
pkt:AT984_05725	CDS	1298646..1299128	hypothetical protein
pkt:AT984_05730	CDS	1299125..1299973	hypothetical protein
pkt:AT984_05735	CDS	1299979..1300605	hypothetical protein
pkt:AT984_05740	CDS	1300616..1301470	hypothetical protein
pkt:AT984_05745	CDS	1301467..1301967	hypothetical protein
pkt:AT984_05750	CDS	1301964..1302701	hypothetical protein
pkt:AT984_05755	CDS	1302698..1302952	hypothetical protein
pkt:AT984_05760	CDS	1302949..1305240	hypothetical protein
pkt:AT984_05765	CDS	1305369..1305833	hypothetical protein
pkt:AT984_05770	CDS	1305835..1306044	hypothetical protein
pkt:AT984_05775	CDS	1306037..1306453	RNA polymerase subunit sigma
pkt:AT984_05780	CDS	1306769..1308178	DNA methylase N-4
pkt:AT984_05785	CDS	1308175..1309446	DNA methylase N-4
pkt:AT984_05790	CDS	complement(1309410..1309778)	hypothetical protein
pkt:AT984_05795	CDS	complement(1309877..1310236)	hypothetical protein
pkt:AT984_05800	CDS	complement(1310266..1310790)	hypothetical protein
pkt:AT984_05805	CDS	complement(1310889..1311086)	hypothetical protein
pkt:AT984_05810	CDS	1311204..1311743	elements of external origin
pkt:AT984_05815	CDS	1311746..1313710	terminase
pkt:AT984_05820	CDS	1313728..1314219	hypothetical protein
pkt:AT984_05825	CDS	1314219..1314611	hypothetical protein
pkt:AT984_05830	CDS	1314611..1314832	hypothetical protein
pkt:AT984_05835	CDS	1314832..1316343	portal protein
pkt:AT984_05840	CDS	1316353..1317582	Clp protease ClpP
pkt:AT984_05845	CDS	1317584..1317964	hypothetical protein
pkt:AT984_05850	CDS	1317982..1319001	major capsid protein E
pkt:AT984_05855	CDS	1318998..1319300	hypothetical protein
pkt:AT984_05860	CDS	1319305..1319751	hypothetical protein
pkt:AT984_05865	CDS	1319757..1319951	hypothetical protein
pkt:AT984_05870	CDS	1319948..1320700	hypothetical protein
pkt:AT984_05875	CDS	1320712..1321113	hypothetical protein
pkt:AT984_05880	CDS	1321110..1321313	hypothetical protein
pkt:AT984_05885	CDS	1321319..1321963	hypothetical protein
pkt:AT984_05890	CDS	1321967..1326010	hypothetical protein
pkt:AT984_05895	CDS	1326021..1326428	hypothetical protein
pkt:AT984_05900	CDS	1326430..1329993	hypothetical protein
pkt:AT984_05905	CDS	1330017..1331288	hypothetical protein
pkt:AT984_05910	CDS	1331292..1332377	hypothetical protein
pkt:AT984_05915	CDS	1332374..1332769	hypothetical protein
pkt:AT984_05920	CDS	1332773..1334791	hypothetical protein
pkt:AT984_05925	CDS	1334784..1335005	hypothetical protein
pkt:AT984_05930	CDS	1335082..1335384	hypothetical protein
pkt:AT984_05935	CDS	1335381..1335857	hypothetical protein
pkt:AT984_05940	CDS	1335854..1336318	glycoside hydrolase
pkt:AT984_05945	CDS	complement(1336326..1337087)	hypothetical protein
pkt:AT984_05950	gene	complement(1337106..1338941)	pseudogene
pkt:AT984_05955	CDS	complement(1338981..1339772)	hypothetical protein
pkt:AT984_05960	CDS	1339886..1340836	integrase
pkt:AT984_05965	CDS	complement(1340804..1341133)	hypothetical protein
pkt:AT984_05970	CDS	complement(1341150..1341872)	hypothetical protein
pkt:AT984_05975	CDS	complement(1341869..1343890)	alkaline phosphatase
pkt:AT984_05980	CDS	complement(1343887..1346730)	helicase
pkt:AT984_05985	CDS	complement(1346733..1349573)	DNA methylase
pkt:AT984_05990	CDS	complement(1349624..1353364)	ATPase
pkt:AT984_05995	CDS	complement(1353399..1353854)	tRNA delta(2)-isopentenylpyrophosphate transferase
pkt:AT984_06000	CDS	complement(1353865..1354779)	hypothetical protein
pkt:AT984_06005	CDS	1354901..1356931	hypothetical protein
pkt:AT984_06010	CDS	1356959..1357492	phosphohydrolase
pkt:AT984_06015	CDS	1357504..1358553	hypothetical protein
pkt:AT984_06020	CDS	1358689..1359360	hypothetical protein
pkt:AT984_06025	CDS	complement(1359503..1360786)	hypothetical protein
pkt:AT984_06030	CDS	complement(1360886..1361767)	chromosome partitioning protein ParB
pkt:AT984_06035	CDS	complement(1361764..1362666)	chromosome partitioning protein ParB
pkt:AT984_06040	CDS	complement(1362663..1364183)	serine recombinase
pkt:AT984_06045	CDS	1364383..1364610	hypothetical protein
pkt:AT984_06050	CDS	1364965..1366014	AsnC family transcriptional regulator
pkt:AT984_06055	CDS	1366327..1366869	hypothetical protein
pkt:AT984_06060	CDS	1367084..1367740	alpha/beta hydrolase
pkt:AT984_06065	CDS	1367737..1368945	DNA-binding protein
pkt:AT984_06070	CDS	1368962..1369210	hypothetical protein
pkt:AT984_06075	CDS	1369655..1370071	MarR family transcriptional regulator
pkt:AT984_06080	CDS	1370119..1370511	4-oxalocrotonate tautomerase
pkt:AT984_06085	CDS	complement(1372379..1372810)	hypothetical protein
pkt:AT984_06090	CDS	complement(1372807..1374165)	recombinase
pkt:AT984_06095	gene	complement(1374162..1374536)	pseudogene
pkt:AT984_06100	CDS	1374578..1375525	hypothetical protein
pkt:AT984_06105	CDS	1375613..1376059	hypothetical protein
pkt:AT984_06110	CDS	1376065..1376892	hypothetical protein
pkt:AT984_06115	CDS	complement(1377014..1377283)	hypothetical protein
pkt:AT984_06120	CDS	complement(1377700..1378437)	AAA family ATPase
pkt:AT984_06125	CDS	complement(1378461..1380011)	transposase
pkt:AT984_06130	CDS	complement(1380080..1381015)	hypothetical protein
pkt:AT984_06135	CDS	complement(1381092..1381292)	AlpA family transcriptional regulator
pkt:AT984_06140	CDS	1381789..1382001	hypothetical protein
pkt:AT984_06145	CDS	1382003..1382614	hypothetical protein
pkt:AT984_06150	CDS	1382602..1383024	hypothetical protein
pkt:AT984_06155	CDS	1383080..1383376	hypothetical protein
pkt:AT984_06160	CDS	1383706..1384644	phosphoesterase
pkt:AT984_06165	CDS	complement(1384757..1385053)	hypothetical protein
pkt:AT984_06170	CDS	complement(1385131..1386084)	transcriptional regulator
pkt:AT984_06175	CDS	complement(1386198..1386845)	peroxidase
pkt:AT984_06180	CDS	complement(1386924..1387520)	alpha/beta hydrolase
pkt:AT984_06185	CDS	complement(1387543..1387761)	transporter
pkt:AT984_06190	CDS	1387996..1388517	hypothetical protein
pkt:AT984_06195	CDS	1388550..1389227	hypothetical protein
pkt:AT984_06200	CDS	1389336..1390619	hypothetical protein
pkt:AT984_06205	CDS	complement(1390663..1391397)	arginyl-tRNA-protein transferase
pkt:AT984_06210	CDS	complement(1391426..1392181)	leucyl/phenylalanyl-tRNA--protein transferase
pkt:AT984_06215	CDS	1392265..1392618	arsenate reductase
pkt:AT984_06220	CDS	1392886..1394088	ammonium transporter
pkt:AT984_06225	CDS	1394127..1394834	riboflavin synthase subunit alpha
pkt:AT984_06230	CDS	complement(1394853..1395818)	hypothetical protein
pkt:AT984_06235	CDS	complement(1395844..1397076)	hypothetical protein
pkt:AT984_06240	CDS	complement(1397073..1399508)	hypothetical protein
pkt:AT984_06245	CDS	complement(1399712..1401049)	AAA family ATPase
pkt:AT984_06250	CDS	complement(1401055..1403727)	hypothetical protein
pkt:AT984_06255	CDS	complement(1403724..1406441)	hypothetical protein
pkt:AT984_06260	CDS	complement(1406438..1407304)	hypothetical protein
pkt:AT984_06265	CDS	complement(1407301..1411338)	hypothetical protein
pkt:AT984_06270	CDS	complement(1411357..1411764)	hypothetical protein
pkt:AT984_06275	CDS	complement(1411767..1412066)	type VI secretion protein
pkt:AT984_06280	CDS	complement(1412086..1413876)	type VI secretion protein VgrG
pkt:AT984_06285	CDS	complement(1413892..1414584)	hypothetical protein
pkt:AT984_06290	CDS	complement(1414604..1414807)	hypothetical protein
pkt:AT984_06295	CDS	complement(1414850..1415350)	hypothetical protein
pkt:AT984_06300	CDS	complement(1415358..1415816)	phage tail protein
pkt:AT984_06305	CDS	complement(1415939..1417882)	hypothetical protein
pkt:AT984_06310	CDS	complement(1417916..1418635)	hypothetical protein
pkt:AT984_06315	CDS	complement(1418632..1419201)	hypothetical protein
pkt:AT984_06320	CDS	complement(1419322..1420008)	hypothetical protein
pkt:AT984_06325	CDS	complement(1420005..1420706)	hypothetical protein
pkt:AT984_06330	CDS	complement(1421030..1422361)	hypothetical protein
