ccol:SSU_rRNA-1	rRNA	complement(1..491)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:BN865_03360c	CDS	complement(303920..304276)	LSU ribosomal protein L18p (L5e)
ccol:BN865_03370c	CDS	complement(304286..304822)	LSU ribosomal protein L6p (L9e)
ccol:BN865_03380c	CDS	complement(304900..305295)	SSU ribosomal protein S8p (S15Ae)
ccol:BN865_03390c	CDS	complement(305305..305490)	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent
ccol:BN865_03400c	CDS	complement(305492..306037)	LSU ribosomal protein L5p (L11e)
ccol:BN865_03410c	CDS	complement(306041..306274)	LSU ribosomal protein L24p (L26e)
ccol:BN865_03430c	CDS	complement(306274..306642)	LSU ribosomal protein L14p (L23e)
ccol:BN865_03440c	CDS	complement(306642..306893)	SSU ribosomal protein S17p (S11e)
ccol:BN865_03450c	CDS	complement(306903..307088)	LSU ribosomal protein L29p (L35e)
ccol:BN865_03460c	CDS	complement(307075..307500)	LSU ribosomal protein L16p (L10e)
ccol:BN865_03470c	CDS	complement(307503..308204)	SSU ribosomal protein S3p (S3e)
ccol:BN865_03480c	CDS	complement(308247..308612)	LSU ribosomal protein L22p (L17e)
ccol:BN865_03490c	CDS	complement(308623..308904)	SSU ribosomal protein S19p (S15e)
ccol:BN865_03500c	CDS	complement(308906..309736)	LSU ribosomal protein L2p (L8e)
ccol:BN865_03510c	CDS	complement(309738..310019)	LSU ribosomal protein L23p (L23Ae)
ccol:BN865_03520c	CDS	complement(310022..310636)	LSU ribosomal protein L4p (L1e)
ccol:BN865_03530c	CDS	complement(310633..311208)	LSU ribosomal protein L3p (L3e)
ccol:BN865_03540c	CDS	complement(311218..311412)	SSU ribosomal protein S10p (S20e)
ccol:BN865_03550	CDS	311857..317262	hypothetical protein
ccol:BN865_03560c	CDS	complement(317315..318076)	Putative ribosomal pseudouridine synthase
ccol:BN865_03570c	CDS	complement(318119..320149)	Zn-dependent hydrolase, RNA-metabolising
ccol:BN865_03580c	CDS	complement(320121..320915)	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
ccol:BN865_03590	CDS	321004..321540	purine nucleoside phosphorylase (punB)
ccol:BN865_03600	CDS	321560..322630	Ribosomal RNA large subunit methyltransferase N
ccol:BN865_03610	CDS	322594..322731	hypothetical protein
ccol:tRNA-Met-1	tRNA	complement(322987..323060)	tRNA-Met
ccol:tRNA-Ser-1	tRNA	323164..323248	tRNA-Ser
ccol:tRNA-Ala-1	tRNA	323298..323370	tRNA-Ala
ccol:tRNA-Val-1	tRNA	323375..323447	tRNA-Val
ccol:BN865_03630	CDS	323676..324194	Putative acetyltransferase
ccol:BN865_03640c	CDS	complement(324186..324788)	3-isopropylmalate dehydratase small subunit
ccol:BN865_03650c	CDS	complement(324790..326196)	3-isopropylmalate dehydratase large subunit
ccol:BN865_03660c	CDS	complement(326189..327265)	3-isopropylmalate dehydrogenase
ccol:BN865_03670c	CDS	complement(327262..328797)	2-isopropylmalate synthase
ccol:BN865_03680	CDS	329144..329773	FIG00469579: hypothetical protein
ccol:BN865_03690c	CDS	complement(329797..330441)	Possible outer membrane protein
ccol:BN865_03700c	CDS	complement(330692..331021)	Putative periplasmic protein
ccol:BN865_03710c	CDS	complement(331200..331583)	NADPH-dependent 7-cyano-7-deazaguanine reductase
ccol:BN865_03720	CDS	331743..332342	Putative periplasmic protein
ccol:BN865_03730c	CDS	complement(332347..333228)	Homoserine O-succinyltransferase
ccol:BN865_03740c	CDS	complement(333309..334580)	O-acetylhomoserine sulfhydrylase / O-succinylhomoserine sulfhydrylase
ccol:BN865_03750c	CDS	complement(335007..337538)	Flagellar hook subunit protein
ccol:BN865_03760c	CDS	complement(337734..338210)	Crossover junction endodeoxyribonuclease RuvC
ccol:BN865_03780	CDS	338311..339633	Chromosomal replication initiator protein DnaA
ccol:BN865_03790	CDS	339798..340865	DNA polymerase III beta subunit
ccol:BN865_03800	CDS	340900..343212	DNA gyrase subunit B
ccol:BN865_03810	CDS	343386..343763	Tat (twin-arginine translocation) pathway signal sequence domain protein
ccol:BN865_03820	CDS	343760..345430	probable p-cresol methylhydroxylase subunit
ccol:BN865_03830	CDS	345427..345861	hypothetical protein
ccol:BN865_03840	CDS	346055..347356	Histidine permease YuiF
ccol:BN865_03850	CDS	347491..351981	Glutamate synthase [NADPH] large chain
ccol:BN865_03860	CDS	351991..353436	Glutamate synthase [NADPH] small chain
ccol:BN865_03870c	CDS	complement(353437..354045)	Ribonuclease HII
ccol:BN865_03880c	CDS	complement(354050..354697)	Rubrerythrin
ccol:BN865_03890	CDS	354847..356523	Dihydroxy-acid dehydratase
ccol:BN865_03900	CDS	356608..356757	Putative periplasmic protein
ccol:BN865_03910	CDS	357078..357497	conserved hypothetical secreted protein
ccol:BN865_03920c	CDS	complement(357725..358951)	Hydrolase (HAD superfamily)
ccol:BN865_03930	CDS	359401..360081	Queuosine Biosynthesis QueC ATPase
ccol:BN865_03940c	CDS	complement(360101..361618)	Putative ATP/GTP binding protein
ccol:BN865_03950c	CDS	complement(361633..361800)	small hydrophobic protein
ccol:BN865_03960c	CDS	complement(361848..362714)	Fumarylacetoacetate hydrolase family protein
ccol:BN865_03970c	CDS	complement(362779..363618)	Putative ribosomal pseudouridine synthase
ccol:BN865_03980	CDS	363753..365081	Adenylosuccinate lyase
ccol:BN865_03990	CDS	365096..367465	Ribonucleotide reductase of class Ia (aerobic), alpha subunit
ccol:BN865_04010c	CDS	complement(367517..368884)	Putative transmembrane symporter
ccol:BN865_04020c	CDS	complement(369003..369626)	Thymidylate synthase thyX
ccol:BN865_04030	CDS	369738..371372	CTP synthase
ccol:BN865_04040	CDS	371359..372930	Single-stranded-DNA-specific exonuclease RecJ
ccol:BN865_04050	CDS	373068..374063	L-asparaginase
ccol:BN865_04060	CDS	374334..376730	Biotin sulfoxide reductase
ccol:BN865_04070	CDS	376733..377266	Cytochrome C family protein
ccol:SSU_rRNA-2	rRNA	377657..379114	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:tRNA-Ala-2	tRNA	379268..379340	tRNA-Ala
ccol:tRNA-Ile-1	tRNA	379351..379424	tRNA-Ile
ccol:LSU_rRNA-1	rRNA	379875..382783	Large Subunit Ribosomal RNA; lsuRNA; LSU ribosomal RNA
ccol:5S_RNA-1	rRNA	382937..383054	5S RNA
ccol:BN865_04090c	CDS	complement(383450..385087)	Gamma-glutamyltranspeptidase
ccol:BN865_04100c	CDS	complement(385409..386764)	Magnesium citrate secondary transporter
ccol:BN865_04110	CDS	387069..387302	putative type IIS restriction/modification enzyme
ccol:BN865_04120	CDS	387379..387948	Putative integral membrane protein
ccol:BN865_04130	CDS	388305..390053	Putative integral membrane protein
ccol:BN865_04140	CDS	390072..390188	hypothetical protein
ccol:BN865_04150	CDS	390188..391345	hypothetical protein
ccol:BN865_04170	CDS	391402..393327	Putative integral membrane protein
ccol:BN865_04180	CDS	393440..393868	hypothetical protein
ccol:BN865_04190	CDS	393846..394763	hypothetical protein
ccol:BN865_04200c	CDS	complement(394889..395509)	PUTATIVE PERIPLASMIC PROTEIN
ccol:BN865_04210c	CDS	complement(395506..396714)	Putative efflux protein
ccol:BN865_04220	CDS	396820..398169	FIG00469895: hypothetical protein
ccol:BN865_04240c	CDS	complement(398193..399236)	Cytochrome c family protein
ccol:BN865_04250c	CDS	complement(399414..400061)	membrane protein
ccol:BN865_04260c	CDS	complement(400061..401812)	GTP-binding protein TypA/BipA
ccol:BN865_04270	CDS	401998..402321	FIG00470053: hypothetical protein
ccol:BN865_04280	CDS	402335..404242	Flagellar hook-length control protein FliK
ccol:BN865_04290	CDS	404299..405159	Flagellar basal-body rod modification protein FlgD
ccol:BN865_04300	CDS	405163..406800	Flagellar hook protein FlgE
ccol:BN865_04310c	CDS	complement(406804..408675)	FIG00470070: hypothetical protein
ccol:BN865_04320c	CDS	complement(408680..409387)	Hemerythrin-like iron-binding protein
ccol:BN865_04330c	CDS	complement(409953..410969)	tRNA-specific 2-thiouridylase MnmA
ccol:BN865_04340c	CDS	complement(410969..411574)	Predicted Rossmann fold nucleotide-binding protein, possible lysine decarboxylase
ccol:BN865_04360c	CDS	complement(411739..412575)	Flagellar motor switch protein FliN
ccol:BN865_04370c	CDS	complement(412572..413654)	Flagellar motor switch protein FliM
ccol:BN865_04380c	CDS	complement(413654..414346)	RNA polymerase sigma factor for flagellar operon
ccol:BN865_04390c	CDS	complement(414327..414683)	Motility integral membrane protein
ccol:BN865_04400c	CDS	complement(414703..415569)	Flagellar synthesis regulator FleN
ccol:BN865_04410c	CDS	complement(415562..416992)	Flagellar biosynthesis protein FlhF
ccol:BN865_04420c	CDS	complement(416993..417475)	2-amino-4-hydroxy-6-hydroxymethyldihydropteridinepyrophosphokinase
ccol:BN865_04430c	CDS	complement(417478..417966)	3-dehydroquinate dehydratase II
ccol:BN865_04440	CDS	418058..419287	Chlorohydrolase/deaminase family protein
ccol:BN865_04450	CDS	419275..420198	protease IV (PspA)
ccol:BN865_04460	CDS	420282..421313	FIG00469778: hypothetical protein
ccol:BN865_04470c	CDS	complement(421437..422045)	Hemerythrin-like iron-binding protein
ccol:BN865_04480c	CDS	complement(422026..422715)	Hemerythrin-like iron-binding protein
ccol:BN865_04500c	CDS	complement(422913..423569)	Predicted L-lactate dehydrogenase, hypothetical protein subunit YkgG
ccol:BN865_04510c	CDS	complement(423562..425001)	Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF
ccol:BN865_04520c	CDS	complement(424998..425735)	Predicted L-lactate dehydrogenase, Fe-S oxidoreductase subunit YkgE
ccol:BN865_04530c	CDS	complement(425888..427555)	L-lactate permease
ccol:BN865_04550	CDS	427945..428178	membrane protein
ccol:BN865_04560	CDS	428175..429737	Cytochrome d ubiquinol oxidase subunit I
ccol:BN865_04570	CDS	429737..430858	Cytochrome d ubiquinol oxidase subunit II
ccol:BN865_04580	CDS	430842..430976	hypothetical protein
ccol:BN865_04590c	CDS	complement(431060..431683)	transcriptional regulator, Crp/Fnr family
ccol:BN865_04600	CDS	431814..432014	FIG00469923: hypothetical protein
ccol:BN865_04610c	CDS	complement(432011..432703)	Aspartate racemase
ccol:BN865_04620c	CDS	complement(432842..433537)	Uracil-DNA glycosylase, family 1
ccol:BN865_04630	CDS	433806..435212	Aspartate ammonia-lyase
ccol:BN865_04640	CDS	435228..436565	Anaerobic C4-dicarboxylate transporter DcuB
ccol:BN865_04650	CDS	436670..437986	Putative lipoprotein
ccol:BN865_04660	CDS	438017..438640	Putative lipoprotein
ccol:BN865_04670	CDS	438634..439626	probable periplasmic protein Cj0093, putative
ccol:BN865_04680c	CDS	complement(439610..439732)	hypothetical protein
ccol:BN865_04690	CDS	439784..440092	LSU ribosomal protein L21p
ccol:BN865_04700	CDS	440103..440357	LSU ribosomal protein L27p
ccol:BN865_04710	CDS	440459..441505	GTP-binding protein Obg
ccol:BN865_04720c	CDS	complement(441607..442110)	Possible lipoprotein thiredoxin
ccol:BN865_04730c	CDS	complement(442071..442559)	Putative thioredoxin precursor
ccol:BN865_04740c	CDS	complement(442556..443203)	Putative ABC transport system ATP-binding protein
ccol:BN865_04750c	CDS	complement(443200..444321)	Lipoprotein releasing system transmembrane protein LolC
ccol:BN865_04770c	CDS	complement(444311..445606)	Cell division protein FtsX
ccol:BN865_04800c	CDS	complement(445596..446999)	Ferrous iron transport permease EfeU
ccol:BN865_04810c	CDS	complement(447081..447620)	Periplasmic protein p19 involved in high-affinity Fe2+ transport
ccol:BN865_04820c	CDS	complement(447617..449689)	Putative high-affinity iron permease
ccol:BN865_04830	CDS	449867..450049	FIG00469787: hypothetical protein
ccol:BN865_04850	CDS	450179..451327	Na+/H+ antiporter NhaA type
ccol:BN865_04860	CDS	451324..452493	Na+/H+ antiporter NhaA type
ccol:BN865_04870	CDS	452503..452964	Probable lipoprotein
ccol:BN865_04880	CDS	452966..453709	Glutamate racemase
ccol:BN865_04890	CDS	453719..454477	Methionine aminopeptidase
ccol:BN865_04900c	CDS	complement(454787..455287)	FIG00469751: hypothetical protein
ccol:BN865_04910c	CDS	complement(455338..455940)	Putative lipoprotein
ccol:BN865_04920c	CDS	complement(455940..456833)	Possible ABC transport system periplasmic substrate-binding protein
ccol:BN865_04930c	CDS	complement(456836..457558)	Uncharacterized ABC transporter, ATP-binding protein YrbF
ccol:BN865_04940c	CDS	complement(457559..458674)	Putative ABC transport system permease protein
ccol:BN865_04950c	CDS	complement(458676..460574)	Transketolase
ccol:BN865_04960c	CDS	complement(460584..461423)	Octaprenyl diphosphate synthase / Dimethylallyltransferase / (2E,6E)-farnesyl diphosphate synthase / Geranylgeranyl diphosphate synthase
ccol:BN865_04970c	CDS	complement(461420..462514)	Putative periplasmic protein
ccol:BN865_04980c	CDS	complement(462511..462816)	Transcriptional regulatory protein
ccol:BN865_04990c	CDS	complement(462820..464103)	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
ccol:BN865_05000c	CDS	complement(464087..464644)	FIG00469423: hypothetical protein
ccol:BN865_05010c	CDS	complement(464631..464903)	Iron-sulfur cluster assembly scaffold protein NifU
ccol:BN865_05020c	CDS	complement(464998..466824)	DNA primase
ccol:BN865_05030	CDS	466895..467878	Putative periplasmic protein
ccol:BN865_05040	CDS	467865..468305	Ribonuclease HI
ccol:BN865_05050	CDS	468292..468966	Ribonuclease III
ccol:BN865_05060	CDS	468966..470054	Chorismate synthase
ccol:BN865_05070	CDS	470270..475930	Hemolysin, putative
ccol:BN865_05080	CDS	475931..477583	Channel-forming transporter/cytolysins activator of TpsB family
ccol:BN865_05090c	CDS	complement(477586..478569)	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
ccol:BN865_05110	CDS	478672..478830	putative periplasmic protein
ccol:BN865_05120	CDS	478827..479702	FIG00469530: hypothetical protein
ccol:BN865_05130c	CDS	complement(479768..480451)	Ferric siderophore transport system, periplasmic binding protein TonB2
ccol:BN865_05140c	CDS	complement(480448..480837)	Biopolymer transport protein ExbD/TolR
ccol:BN865_05150c	CDS	complement(480830..481255)	Ferric siderophore transport system, biopolymer transport protein ExbB
ccol:BN865_05160	CDS	481422..482159	FIG00469595: hypothetical protein
ccol:BN865_05170	CDS	482228..482644	Putative periplasmic protein
ccol:BN865_05180	CDS	482927..484249	Serine transporter
ccol:BN865_05190	CDS	484258..485622	L-serine dehydratase
ccol:BN865_05200c	CDS	complement(485643..486155)	membrane protein
ccol:BN865_05210c	CDS	complement(486145..487125)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase
ccol:BN865_05220c	CDS	complement(487253..487582)	hypothetical protein
ccol:tRNA-Ser-2	tRNA	complement(487664..487748)	tRNA-Ser
ccol:tRNA-Cys	tRNA	complement(487783..487853)	tRNA-Cys
ccol:tRNA-Leu-2	tRNA	complement(487878..487963)	tRNA-Leu
ccol:tRNA-Gly-1	tRNA	complement(487976..488047)	tRNA-Gly
ccol:BN865_05230c	CDS	complement(488106..488864)	Putative periplasmic protein
ccol:BN865_05250	CDS	489058..490065	A/G-specific adenine glycosylase
ccol:BN865_05260	CDS	490172..491029	FIG00469898: hypothetical protein
ccol:BN865_05270c	CDS	complement(491026..491832)	Haemin uptake system periplasmic haemin-binding protein
ccol:BN865_05280c	CDS	complement(491829..492608)	Haemin uptake system ATP-binding protein
ccol:BN865_05290c	CDS	complement(492605..493591)	Haemin uptake system permease protein
ccol:BN865_05300c	CDS	complement(493566..495692)	Haemin uptake system outer membrane receptor
ccol:BN865_05310	CDS	495897..496652	Putative heme oxygenase
ccol:BN865_05320c	CDS	complement(496683..497750)	Peptide chain release factor 1
ccol:BN865_05330c	CDS	complement(497767..498030)	SSU ribosomal protein S20p
ccol:BN865_05350c	CDS	complement(498107..498607)	Phosphatidylglycerophosphatase A
ccol:BN865_05360c	CDS	complement(498617..499777)	Sulfate adenylyltransferase, dissimilatory-type
ccol:BN865_05370c	CDS	complement(499755..500642)	Possible two-component regulator
ccol:BN865_05380c	CDS	complement(500639..501754)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ccol:BN865_05390	CDS	501873..502979	putative ATP/GTP-binding protein (mrp protein homolog)
ccol:BN865_05400	CDS	502997..504160	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
ccol:BN865_05410c	CDS	complement(504306..504929)	Phosphoribosyl-AMP cyclohydrolase / Phosphoribosyl-ATP pyrophosphatase
ccol:BN865_05420c	CDS	complement(504932..505699)	Imidazole glycerol phosphate synthase cyclase subunit
ccol:BN865_05430c	CDS	complement(505681..506409)	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
ccol:BN865_05440c	CDS	complement(506406..506993)	Imidazole glycerol phosphate synthase amidotransferase subunit
ccol:BN865_05450c	CDS	complement(506990..508051)	Histidinol-phosphatase / Imidazoleglycerol-phosphate dehydratase
ccol:BN865_05460c	CDS	complement(508048..509334)	Histidinol dehydrogenase
ccol:BN865_05470c	CDS	complement(509342..510241)	ATP phosphoribosyltransferase
ccol:BN865_05480c	CDS	complement(510467..510820)	LSU ribosomal protein L17p
ccol:BN865_05490c	CDS	complement(510824..511837)	DNA-directed RNA polymerase alpha subunit
ccol:BN865_05500c	CDS	complement(511851..512477)	SSU ribosomal protein S4p (S9e)
ccol:BN865_05510c	CDS	complement(512507..512899)	SSU ribosomal protein S11p (S14e)
ccol:BN865_05520c	CDS	complement(512909..513274)	SSU ribosomal protein S13p (S18e)
ccol:BN865_05530c	CDS	complement(513277..513390)	LSU ribosomal protein L36p
ccol:BN865_05540c	CDS	complement(513561..513779)	Translation initiation factor 1
ccol:BN865_05550c	CDS	complement(513835..513981)	hypothetical protein
ccol:BN865_05560	CDS	513969..515252	L-Proline/Glycine betaine transporter ProP
ccol:BN865_05570	CDS	515324..516955	Putative ABC transporter
ccol:BN865_05580c	CDS	complement(516977..517399)	Putative bacterial haemoglobin
ccol:BN865_05590c	CDS	complement(517467..518024)	Anaerobic dimethyl sulfoxide reductase chain D
ccol:BN865_05600c	CDS	complement(518024..518890)	Anaerobic dimethyl sulfoxide reductase chain C
ccol:BN865_05610c	CDS	complement(518877..519533)	Anaerobic dimethyl sulfoxide reductase chain B
ccol:BN865_05620c	CDS	complement(519543..521945)	Anaerobic dimethyl sulfoxide reductase chain A
ccol:BN865_05630	CDS	522187..523785	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
ccol:BN865_05640	CDS	523785..524729	Putative peptide ABC-transport system permease protein
ccol:BN865_05650	CDS	524722..525510	Putative peptide ABC-transport system permease protein
ccol:BN865_05660	CDS	525507..526217	Putative peptide ABC-transport system ATP-binding protein
ccol:BN865_05670	CDS	526210..526875	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
ccol:BN865_05680	CDS	526993..527382	NADH ubiquinone oxidoreductase chain A
ccol:BN865_05690	CDS	527364..527867	NADH-ubiquinone oxidoreductase chain B
ccol:BN865_05700	CDS	528045..528659	NADH-ubiquinone oxidoreductase chain C
ccol:BN865_05710	CDS	528661..529887	NADH-ubiquinone oxidoreductase chain D
ccol:BN865_05720	CDS	529884..530111	NADH-ubiquinone oxidoreductase chain E
ccol:BN865_05730	CDS	530108..530800	FIG00469845: hypothetical protein
ccol:BN865_05740	CDS	530797..533259	NADH-ubiquinone oxidoreductase chain G
ccol:BN865_05750	CDS	533252..534250	NADH-ubiquinone oxidoreductase chain H
ccol:BN865_05760	CDS	534260..534913	NADH-ubiquinone oxidoreductase chain I
ccol:BN865_05770	CDS	534910..535425	NADH-ubiquinone oxidoreductase chain J
ccol:BN865_05780	CDS	535425..535718	NADH-ubiquinone oxidoreductase chain K
ccol:BN865_05790	CDS	535721..537511	NADH-ubiquinone oxidoreductase chain L
ccol:BN865_05800	CDS	537513..539003	NADH-ubiquinone oxidoreductase chain M
ccol:BN865_05820	CDS	538993..540366	NADH-ubiquinone oxidoreductase chain N
ccol:BN865_05830	CDS	540379..542745	Paralysed flagella protein PflA
ccol:BN865_05840c	CDS	complement(543153..>543767)	Methyl-accepting chemotaxis signal transduction protein
ccol:BN865_05850c	CDS	complement(<546739..548088)	Methyl-accepting chemotaxis signal transduction protein
ccol:BN865_05860	CDS	548308..548736	Putative transcriptional regulator
ccol:BN865_05870c	CDS	complement(548745..549773)	Arsenical-resistance protein ACR3
ccol:BN865_05880c	CDS	complement(549767..550144)	Arsenate reductase
ccol:BN865_05890c	CDS	complement(550186..550503)	Arsenical resistance operon repressor
ccol:BN865_05900c	CDS	complement(550513..551418)	conserved protein
ccol:BN865_05910	CDS	551580..552005	hypothetical protein
ccol:BN865_05920	CDS	552151..553266	sarcosine oxidase, putative
ccol:BN865_05930c	CDS	complement(553300..554787)	Type I restriction-modification system, DNA-methyltransferase subunit M
ccol:BN865_05940c	CDS	complement(554879..556111)	Type I restriction-modification system, specificity subunit S
ccol:BN865_05950c	CDS	complement(556125..556889)	hypothetical protein
ccol:BN865_05960c	CDS	complement(556894..557493)	RloE
ccol:BN865_05970c	CDS	complement(557584..559179)	hypothetical protein
ccol:BN865_05990c	CDS	complement(559169..561487)	Type I restriction-modification system, restriction subunit R
ccol:BN865_06000	CDS	561621..562700	Cinnamyl alcohol dehydrogenase/reductase @ Alcohol dehydrogenase
ccol:BN865_06010	CDS	562709..563311	chloramphenicol acetyltransferase (CATIII)
ccol:BN865_06020c	CDS	complement(563283..563735)	Homolog of BLC protein
ccol:BN865_06030c	CDS	complement(563732..564073)	Transcriptional regulator, HxlR family
ccol:BN865_06040	CDS	564191..565381	transporter, putative
ccol:BN865_06050	CDS	565399..565983	MdaB protein homolog
ccol:BN865_06060	CDS	566386..568992	Putative periplasmic protein
ccol:BN865_06070	CDS	569015..572392	Filamentous haemagglutinin domain protein
ccol:BN865_06080	CDS	572649..573443	membrane protein
ccol:BN865_06090c	CDS	complement(573596..574405)	ABC-type tungstate transport system, periplasmic binding protein
ccol:BN865_06100	CDS	574488..575174	ABC-type tungstate transport system, permease protein
ccol:BN865_06110	CDS	575175..576170	ABC-type tungstate transport system, ATP-binding protein
ccol:BN865_06120	CDS	576313..578286	Acetyl-coenzyme A synthetase
ccol:BN865_06130	CDS	578393..579217	UTP--glucose-1-phosphate uridylyltransferase
ccol:BN865_06140	CDS	579211..580434	Glucose-6-phosphate isomerase
ccol:BN865_06150	CDS	580557..581006	Possible bacterioferritin
ccol:BN865_06160	CDS	581139..581297	hypothetical protein
ccol:BN865_06170	CDS	581297..581515	hypothetical protein
ccol:BN865_06180	CDS	581855..582892	Putative helix-turn-helix containsing protein
ccol:BN865_06190c	CDS	complement(582899..583630)	Possible periplasmic protein
ccol:BN865_06200c	CDS	complement(583605..584354)	Diaminopimelate epimerase
ccol:BN865_06210c	CDS	complement(584351..584956)	Dephospho-CoA kinase
ccol:BN865_06220	CDS	585017..586006	Phosphoribosylformylglycinamidine cyclo-ligase
ccol:BN865_06230c	CDS	complement(586026..587480)	C4-dicarboxylate anaerobic carrier, putative
ccol:BN865_06240c	CDS	complement(587705..588895)	Molybdopterin biosynthesis protein MoeA
ccol:BN865_06250c	CDS	complement(588940..589386)	Molybdenum cofactor biosynthesis protein MoaE
ccol:BN865_06260c	CDS	complement(589387..589608)	Molybdenum cofactor biosynthesis protein MoaD
ccol:BN865_06270	CDS	589768..590916	Carboxynorspermidine decarboxylase, putative
ccol:BN865_06290	CDS	591252..591953	Putative formate dehydrogenase-specific chaperone
ccol:BN865_06300	CDS	591928..592119	Formate dehydrogenase subunit or accessory protein
ccol:BN865_06310	CDS	592119..592661	Formate dehydrogenase-O, major subunit @ selenocysteine-containing
ccol:BN865_06330	CDS	592710..594923	Formate dehydrogenase-O, major subunit @ selenocysteine-containing
ccol:BN865_06340	CDS	594927..595568	Formate dehydrogenase-O, iron-sulfur subunit; Putative formate dehydrogenase iron-sulfur subunit
ccol:BN865_06350	CDS	595565..596497	Putative formate dehydrogenase, cytochrome B subunit
ccol:BN865_06360	CDS	596689..597471	Formate dehydrogenase chain D
ccol:BN865_06370	CDS	597464..598195	N-terminal HTH domain of molybdenum-binding protein family
ccol:BN865_06380	CDS	598320..598892	Hypothetical protein Cj1505c
ccol:BN865_06400	CDS	598996..599922	Selenide,water dikinase @ selenocysteine-containing
ccol:BN865_06410	CDS	600060..603563	Proline dehydrogenase (Proline oxidase) / Delta-1-pyrroline-5-carboxylate dehydrogenase
ccol:BN865_06420	CDS	603578..605059	Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter
ccol:BN865_06430c	CDS	complement(605252..605479)	FIG00469821: hypothetical protein
ccol:BN865_06440c	CDS	complement(605483..606694)	membrane protein
ccol:BN865_06450	CDS	606967..608217	Adenylosuccinate synthetase
ccol:BN865_06460	CDS	608214..608642	FIG00469556: hypothetical protein
ccol:BN865_06470	CDS	608635..609153	Putative periplasmic protein
ccol:BN865_06480	CDS	609227..609778	Hypothetical protein probably associated with Carbamoyl-phosphate synthase
ccol:BN865_06490	CDS	609783..610901	Carbamoyl-phosphate synthase small chain
ccol:BN865_06500	CDS	610911..611567	Heavy-metal-associated domain (N-terminus) and membrane-bounded cytochrome biogenesis cycZ-like domain, possible membrane copper tolerance protein
ccol:BN865_06510	CDS	611568..612776	Putative two-component sensor histidine kinase
ccol:BN865_06520	CDS	612781..613449	Putative two-component response regulator
ccol:BN865_06530	CDS	613577..615043	Cytochrome c oxidase subunit CcoN
ccol:BN865_06540	CDS	615056..615721	Cytochrome c oxidase subunit CcoO
ccol:BN865_06550	CDS	615726..615989	Cytochrome c oxidase subunit CcoQ
ccol:BN865_06560	CDS	615989..616852	Cytochrome c oxidase subunit CcoP
ccol:BN865_06570	CDS	616900..617073	Putative periplasmic protein
ccol:BN865_06580	CDS	617168..617758	membrane protein
ccol:BN865_06590	CDS	617751..618275	Putative lipoprotein
ccol:BN865_06600	CDS	618272..620638	FIG00388203: hypothetical protein
ccol:BN865_06610	CDS	620635..623394	Helicase
ccol:BN865_06620	CDS	623543..623968	LSU ribosomal protein L13p (L13Ae)
ccol:BN865_06630	CDS	623971..624360	SSU ribosomal protein S9p (S16e)
ccol:BN865_06640	CDS	624478..625458	Outer membrane fibronectin-binding protein
ccol:BN865_06650	CDS	625458..626096	Phosphoglycolate phosphatase
ccol:BN865_06660	CDS	626199..629759	Pyruvate-flavodoxin oxidoreductase
ccol:BN865_06670	CDS	629798..630094	Transformation system protein
ccol:BN865_06680	CDS	630144..631490	MSHA biogenesis protein MshL
ccol:BN865_06690	CDS	631483..632079	MSHA biogenesis protein MshM
ccol:BN865_06700	CDS	632076..632672	Transformation system protein
ccol:BN865_06710	CDS	632665..634227	Type II secretion cytoplasmic ATP binding protein (PulE, ATPase)
ccol:BN865_06720	CDS	634214..635392	Type II secretion system protein
ccol:BN865_06730c	CDS	complement(635389..636153)	Putative membrane protein YfcA
ccol:BN865_06740c	CDS	complement(636156..636920)	FIG00469843: hypothetical protein
ccol:BN865_06750c	CDS	complement(636937..638763)	Flagellar hook-associated protein FlgK
ccol:BN865_06760c	CDS	complement(638773..639207)	FIG00469453: hypothetical protein
ccol:BN865_06770c	CDS	complement(639249..639446)	FIG00469462: hypothetical protein
ccol:BN865_06780c	CDS	complement(639510..639851)	FIG00469721: hypothetical protein
ccol:BN865_06790c	CDS	complement(639851..640897)	Flagellar P-ring protein FlgI
ccol:BN865_06800c	CDS	complement(640960..641649)	16S rRNA (guanine(966)-N(2))-methyltransferase ## SSU rRNA m(2)G966
