arh:AHiyo8_pI65860	gene	pHiyo8-1:<1..492	AHiyo8_pI65860
arh:AHiyo8_05160	CDS	338649..339257	uncharacterized HTH-type transcriptional regulator YdcN
arh:AHiyo8_05170	CDS	339838..340512	FAD dependent oxidoreductase
arh:AHiyo8_05180	CDS	340467..340886	FAD dependent oxidoreductase
arh:AHiyo8_05190	CDS	340983..342119	formyl-coenzyme A transferase
arh:AHiyo8_05200	CDS	342116..342928	carnitinyl-CoA dehydratase
arh:AHiyo8_05210	CDS	342986..343606	4-hydroxy-tetrahydrodipicolinate synthase
arh:AHiyo8_05220	CDS	343650..343841	dihydrodipicolinate protein
arh:AHiyo8_05230	CDS	343914..344261	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
arh:AHiyo8_05240	CDS	344258..345007	nodulation protein G
arh:AHiyo8_05250	CDS	345004..345768	aldehyde dehydrogenase, thermostable
arh:AHiyo8_05260	CDS	345753..346232	aldehyde dehydrogenase, thermostable
arh:AHiyo8_05270	CDS	346239..346655	ferredoxin
arh:AHiyo8_05280	CDS	complement(346558..346869)	hypothetical protein
arh:AHiyo8_05290	CDS	complement(346901..347509)	1-aminocyclopropane-1-carboxylate oxidase
arh:AHiyo8_05300	CDS	complement(347473..347907)	probable iron/ascorbate oxidoreductase DDB_G0283291
arh:AHiyo8_05310	CDS	complement(347983..348330)	glyoxalase/Bleomycin resistance protein/dioxygenase
arh:AHiyo8_05320	CDS	complement(348405..348695)	hypothetical protein
arh:AHiyo8_05330	CDS	complement(348761..349189)	uncharacterized protein Mb0035
arh:AHiyo8_05340	CDS	349365..350945	hypothetical protein
arh:AHiyo8_05350	CDS	complement(350958..351155)	hypothetical protein
arh:AHiyo8_05360	CDS	351337..351636	hypothetical protein
arh:AHiyo8_05370	CDS	complement(351807..352391)	multidrug resistance protein 3
arh:AHiyo8_05380	CDS	complement(352352..353290)	uncharacterized MFS-type transporter YusP
arh:AHiyo8_05390	CDS	353414..353641	hypothetical protein
arh:AHiyo8_05400	CDS	complement(354146..354676)	rhamnulokinase
arh:AHiyo8_05410	CDS	354870..355757	hypothetical protein
arh:AHiyo8_05420	CDS	complement(355610..356587)	uncharacterized oxidoreductase YuxG
arh:AHiyo8_05430	CDS	complement(356706..357674)	uncharacterized oxidoreductase YuxG
arh:AHiyo8_05440	CDS	complement(357662..358645)	probable sugar isomerase R00627
arh:AHiyo8_05450	CDS	complement(358663..358827)	isomerase
arh:AHiyo8_05460	CDS	359007..360053	ribose operon repressor
arh:AHiyo8_05470	CDS	complement(360050..360685)	HTH-type transcriptional regulator PksA
arh:AHiyo8_05480	CDS	360786..362777	phenylethylamine oxidase
arh:AHiyo8_05490	CDS	362746..363804	putrescine importer PuuP
arh:AHiyo8_05500	CDS	363801..364259	amino acid permease
arh:AHiyo8_05510	CDS	364287..364814	hypothetical protein
arh:AHiyo8_05520	CDS	364826..365317	geranial dehydrogenase
arh:AHiyo8_05530	CDS	365314..365952	phenylacetaldehyde dehydrogenase
arh:AHiyo8_05540	CDS	366030..366263	magnesium-activated aldehyde dehydrogenase, cytosolic
arh:AHiyo8_05550	CDS	complement(366328..366525)	hypothetical protein
arh:AHiyo8_05560	CDS	complement(366641..367507)	uncharacterized protein RA0937
arh:AHiyo8_05570	CDS	367591..367866	hypothetical protein
arh:AHiyo8_05580	CDS	complement(367898..368275)	conserved hypothetical protein
arh:AHiyo8_05590	CDS	368408..368617	catabolite control protein A
arh:AHiyo8_05600	CDS	368569..369198	HTH-type transcriptional regulator RegA
arh:AHiyo8_05610	CDS	369180..369416	HTH-type transcriptional repressor PurR
arh:AHiyo8_05620	CDS	369640..370590	uncharacterized lipoprotein in oleD 5'region
arh:AHiyo8_05630	CDS	370587..370991	protein involved in carbohydrate transport
arh:AHiyo8_05640	CDS	371123..371653	trehalose/maltose transport system permease protein MalF
arh:AHiyo8_05650	CDS	371650..372051	lactose transport system permease protein LacF
arh:AHiyo8_05660	CDS	372110..372562	L-arabinose transport system permease protein AraQ
arh:AHiyo8_05670	CDS	372562..372684	part of a binding-protein-dependent transport system
arh:AHiyo8_05680	CDS	372681..372944	L-arabinose transport system permease protein AraQ
arh:AHiyo8_05690	CDS	373151..373507	exo-alpha-(1->6)-L-arabinofuranosidase
arh:AHiyo8_05700	CDS	373658..374434	intracellular exo-alpha-(1->5)-L-arabinofuranosidase
arh:AHiyo8_05710	CDS	374694..374813	hypothetical protein
arh:AHiyo8_05720	CDS	complement(374888..375877)	L-arabinose isomerase
arh:AHiyo8_05730	CDS	complement(375859..376407)	L-arabinose isomerase
arh:AHiyo8_05740	CDS	complement(376442..376897)	L-ribulose-5-phosphate 4-epimerase UlaF
arh:AHiyo8_05750	CDS	complement(377001..377504)	ribulokinase
arh:AHiyo8_05760	CDS	377626..377982	hypothetical protein
arh:AHiyo8_05770	CDS	complement(377906..378847)	ribulokinase
arh:AHiyo8_05780	CDS	complement(378951..379208)	lactose operon repressor
arh:AHiyo8_05790	CDS	379470..379673	hypothetical protein
arh:AHiyo8_05800	CDS	complement(379648..380016)	lactose operon repressor
arh:AHiyo8_05810	CDS	380101..380388	uncharacterized zinc-type alcohol dehydrogenase-like protein YbdR
arh:AHiyo8_05820	CDS	380385..381038	alcohol dehydrogenase
arh:AHiyo8_05830	CDS	380989..381153	hypothetical protein
arh:AHiyo8_05840	CDS	381268..382167	uncharacterized protein C4H3.03c
arh:AHiyo8_05850	CDS	382260..382715	trehalase
arh:AHiyo8_05860	CDS	382712..383329	trehalase
arh:AHiyo8_05870	CDS	383317..383943	probable alcohol dehydrogenase AdhA
arh:AHiyo8_05880	CDS	complement(384270..384632)	hypothetical protein
arh:AHiyo8_05890	CDS	385046..386269	D-xylose-binding periplasmic protein
arh:AHiyo8_05900	CDS	386319..386684	putative ribose/galactose/methyl galactoside import ATP-binding protein
arh:AHiyo8_05910	CDS	386696..387313	ribose import ATP-binding protein RbsA 2
arh:AHiyo8_05920	CDS	387259..388392	xylose transport system permease protein XylH
arh:AHiyo8_05930	CDS	388537..388989	uncharacterized 17.2 kDa protein in melC2-rnhH intergenic region
arh:AHiyo8_05940	CDS	388990..389856	uncharacterized protein ycf39
arh:AHiyo8_05950	CDS	complement(389901..391940)	ATP-dependent Clp protease ATP-binding subunit ClpC1
arh:AHiyo8_05960	CDS	391976..392317	hypothetical protein
arh:AHiyo8_05970	CDS	392320..392529	hypothetical protein
arh:AHiyo8_05980	CDS	392565..393029	uncharacterized protein YqeY
arh:AHiyo8_05990	CDS	393058..393648	hnh endonuclease
arh:AHiyo8_06000	CDS	394114..394545	UPF0339 protein TDE_0826
arh:AHiyo8_06010	CDS	394799..395104	amp-Dependent synthetase and ligase
arh:AHiyo8_06020	CDS	395131..395769	4-coumarate--CoA ligase 1
arh:AHiyo8_06030	CDS	395754..396122	4-coumarate--CoA ligase 4
arh:AHiyo8_06040	CDS	complement(396137..397189)	poly-beta-1,6-N-acetyl-D-glucosamine synthase
arh:AHiyo8_06050	CDS	complement(397314..397526)	hypothetical protein
arh:AHiyo8_06060	CDS	398029..398247	hypothetical protein
arh:AHiyo8_06070	CDS	398251..398409	hypothetical protein
arh:AHiyo8_06080	CDS	398625..398819	hypothetical protein
arh:AHiyo8_06090	CDS	complement(398976..399572)	NAD-specific glutamate dehydrogenase
arh:AHiyo8_06100	CDS	complement(399576..399800)	glutamate dehydrogenase
arh:AHiyo8_06110	CDS	complement(399797..400174)	NAD-specific glutamate dehydrogenase
arh:AHiyo8_06120	CDS	complement(400210..400440)	NAD-specific glutamate dehydrogenase
arh:AHiyo8_06130	CDS	complement(400564..400905)	NAD-specific glutamate dehydrogenase
arh:AHiyo8_06140	CDS	complement(400857..402530)	NAD-specific glutamate dehydrogenase
arh:AHiyo8_06150	CDS	complement(402496..403578)	NAD-specific glutamate dehydrogenase
arh:AHiyo8_06160	CDS	complement(403679..403786)	hypothetical protein
arh:AHiyo8_06170	CDS	complement(403963..404139)	UPF0337 protein CE1672
arh:AHiyo8_06180	CDS	404374..405255	magnesium transport protein CorA
arh:AHiyo8_06190	CDS	complement(405233..406678)	SPBc2 prophage-derived uncharacterized protein YomE
arh:AHiyo8_06200	CDS	407091..407684	uncharacterized phosphatase PhoE
arh:AHiyo8_06210	CDS	407776..407913	phospholipase C
arh:AHiyo8_06220	CDS	407951..408091	hypothetical protein
arh:AHiyo8_06230	CDS	408088..408951	non-specific phospholipase C5
arh:AHiyo8_06240	CDS	complement(409234..410244)	UPF0118 membrane protein Rv0205/MT0215
arh:AHiyo8_06250	CDS	complement(410395..411210)	carboxylate-amine ligase AAur_0300
arh:AHiyo8_06260	CDS	complement(411663..411893)	hypothetical protein
arh:AHiyo8_06270	CDS	complement(411946..412560)	hypothetical protein
arh:AHiyo8_06280	CDS	complement(412912..413787)	probable monodehydroascorbate reductase, cytoplasmic isoform 2
arh:AHiyo8_06290	CDS	complement(413784..414104)	benzene 1,2-dioxygenase system ferredoxin--NAD(+) reductase subunit
arh:AHiyo8_06300	CDS	complement(414101..414295)	hypothetical protein
arh:AHiyo8_06310	CDS	complement(414292..414684)	biotin biosynthesis cytochrome P450
arh:AHiyo8_06320	CDS	complement(414953..415462)	cytochrome P450 130
arh:AHiyo8_06330	CDS	complement(415510..417231)	multidrug resistance protein stp
arh:AHiyo8_06340	CDS	417585..418490	phosphotriesterase homology protein
arh:AHiyo8_06350	CDS	418510..418914	parathion hydrolase
arh:AHiyo8_06360	CDS	419084..419461	aryldialkylphosphatase
arh:AHiyo8_06370	CDS	complement(419350..419916)	hypothetical protein
arh:AHiyo8_06380	CDS	420066..420683	salicylate hydroxylase
arh:AHiyo8_06390	CDS	420680..421507	carboxylesterase NlhH
arh:AHiyo8_06400	CDS	421504..421620	alpha/Beta hydrolase fold-3 domain protein
arh:AHiyo8_06410	CDS	421617..422567	hypothetical protein
arh:AHiyo8_06420	CDS	422574..423803	cocaine esterase
arh:AHiyo8_06430	CDS	423793..424209	hypothetical protein
arh:AHiyo8_06440	CDS	complement(424477..425082)	conserved hypothetical protein
arh:AHiyo8_06450	CDS	complement(425162..425500)	uncharacterized protein R00369
arh:AHiyo8_06460	CDS	complement(425497..426051)	uncharacterized protein R00370
arh:AHiyo8_06470	CDS	complement(426048..426611)	uncharacterized protein R00370
arh:AHiyo8_06480	CDS	complement(426644..426838)	RNA polymerase, sigma
arh:AHiyo8_06490	CDS	complement(426879..427367)	uncharacterized protein R00369
arh:AHiyo8_06500	CDS	427418..428296	carbon monoxide dehydrogenase medium chain
arh:AHiyo8_06510	CDS	428302..428838	carbon monoxide dehydrogenase small chain
arh:AHiyo8_06520	CDS	428835..429902	carbon monoxide dehydrogenase large chain
arh:AHiyo8_06530	CDS	429980..431227	carbon monoxide dehydrogenase large chain
arh:AHiyo8_06540	CDS	431229..432167	uncharacterized protein YqeB
arh:AHiyo8_06550	CDS	432154..432681	conserved hypothetical protein
arh:AHiyo8_06560	CDS	432767..433093	conserved hypothetical protein
arh:AHiyo8_06570	CDS	433268..434245	VWA containing CoxE protein
arh:AHiyo8_06580	CDS	434367..434576	nod factor export ATP-binding protein I
arh:AHiyo8_06590	CDS	434555..435304	uncharacterized ABC transporter ATP-binding protein YfiL
arh:AHiyo8_06600	CDS	435301..436410	inner membrane transport permease YbhS
arh:AHiyo8_06610	CDS	436410..436778	ABC-2 type transporter protein
arh:AHiyo8_06620	CDS	436760..437344	hypothetical protein
arh:AHiyo8_06630	CDS	437371..437508	hypothetical protein
arh:AHiyo8_06640	CDS	complement(437793..438164)	hypothetical protein
arh:AHiyo8_06650	CDS	438317..438568	hypothetical protein
arh:AHiyo8_06660	CDS	438630..438980	muconolactone Delta-isomerase
arh:AHiyo8_06670	CDS	complement(438951..439217)	UPF0410 protein ymge
arh:AHiyo8_06680	CDS	complement(439313..439441)	diacylglycerol kinase catalytic region
arh:AHiyo8_06690	CDS	complement(439438..439926)	diacylglycerol kinase catalytic region
arh:AHiyo8_06700	CDS	440607..441368	monofunctional biosynthetic peptidoglycan transglycosylase
arh:AHiyo8_06710	CDS	complement(441424..442077)	hypothetical protein
arh:AHiyo8_06720	CDS	complement(442146..443180)	uncharacterized oxidoreductase YajO
arh:AHiyo8_06730	CDS	complement(443186..443857)	UDP-glucose 4-epimerase GEPI48
arh:AHiyo8_06740	CDS	444281..444703	hypothetical protein
arh:AHiyo8_06750	CDS	444749..445333	hhh-Gpd family protein
arh:AHiyo8_06760	CDS	445385..445843	peptidyl-tRNA hydrolase ICT1, mitochondrial
arh:AHiyo8_06770	CDS	complement(446200..446745)	hypothetical protein
arh:AHiyo8_06780	CDS	complement(446703..447056)	mercuric resistance operon regulatory protein
arh:AHiyo8_06790	CDS	complement(447071..447307)	thioredoxin
arh:AHiyo8_06800	CDS	447807..448418	hypothetical protein
arh:AHiyo8_06810	CDS	complement(448384..448923)	conserved hypothetical protein
arh:AHiyo8_06820	CDS	complement(448946..449209)	bifunctional deaminase-reductase domain protein
arh:AHiyo8_06830	CDS	complement(449206..449580)	bifunctional deaminase-reductase domain protein
arh:AHiyo8_06840	CDS	449833..450261	hypothetical protein
arh:AHiyo8_06850	CDS	450573..450938	bifunctional deaminase-reductase domain protein
arh:AHiyo8_06860	CDS	451255..452022	DNA polymerase IV 2
arh:AHiyo8_06870	CDS	complement(452032..452838)	protein involved in oligosaccharide metabolic process
arh:AHiyo8_06880	CDS	452971..453480	uncharacterized oxidoreductase YuiH
arh:AHiyo8_06890	CDS	453426..453563	uncharacterized oxidoreductase YuiH
arh:AHiyo8_06900	CDS	453574..454311	NADH-cytochrome b5 reductase 1
arh:AHiyo8_06910	CDS	454433..454654	conserved hypothetical protein
arh:AHiyo8_06920	CDS	454970..455365	S-methyl-5'-thioadenosine phosphorylase
arh:AHiyo8_06930	CDS	455307..455726	S-methyl-5'-thioadenosine phosphorylase
arh:AHiyo8_06940	CDS	455723..456784	dTDP-L-rhamnose 4-epimerase
arh:AHiyo8_06950	CDS	456954..457325	uncharacterized glycosyltransferase Mb0553
arh:AHiyo8_06960	CDS	457447..457671	uncharacterized glycosyltransferase Mb0553
arh:AHiyo8_06970	CDS	457668..458369	conserved hypothetical protein
arh:AHiyo8_06980	CDS	458646..459113	methyltransferase type 11
arh:AHiyo8_06990	CDS	complement(459074..459283)	hypothetical protein
arh:AHiyo8_07000	CDS	complement(459283..459531)	hypothetical protein
arh:AHiyo8_07010	CDS	complement(459589..459972)	uncharacterized oxidoreductase YuiH
arh:AHiyo8_07020	CDS	complement(459966..460388)	oxidoreductase molybdopterin binding
arh:AHiyo8_07030	CDS	460568..460804	hypothetical protein
arh:AHiyo8_07040	CDS	460835..461149	hypothetical protein
arh:AHiyo8_07050	CDS	461431..462300	hypothetical protein
arh:AHiyo8_07060	CDS	complement(462325..463191)	hypothetical protein
arh:AHiyo8_07070	CDS	complement(463737..464198)	hypothetical protein
arh:AHiyo8_07080	CDS	complement(464355..464513)	hypothetical protein
arh:AHiyo8_07090	CDS	464738..464884	hypothetical protein
arh:AHiyo8_07100	CDS	464881..465588	D-Serine ammonia-lyase
arh:AHiyo8_07110	CDS	465537..465854	D-Serine ammonia-lyase
arh:AHiyo8_07120	CDS	complement(465861..466124)	hypothetical protein
arh:AHiyo8_07130	CDS	466238..466558	hypothetical protein
arh:AHiyo8_07140	CDS	466741..466989	hypothetical protein
arh:AHiyo8_07150	CDS	complement(467232..467372)	hypothetical protein
arh:AHiyo8_07160	CDS	complement(467372..467734)	hypothetical protein
arh:AHiyo8_07170	CDS	467984..468505	glucose 1-dehydrogenase
arh:AHiyo8_07180	CDS	complement(468452..468613)	hypothetical protein
arh:AHiyo8_07190	CDS	complement(468665..468826)	hypothetical protein
arh:AHiyo8_07200	CDS	468918..469835	arogenate dehydratase/prephenate dehydratase 1, chloroplastic
arh:AHiyo8_07210	CDS	complement(469880..470800)	conserved hypothetical protein
arh:AHiyo8_07220	CDS	complement(470889..471347)	lipase class 2
arh:AHiyo8_07230	CDS	complement(471377..471736)	hypothetical protein
arh:AHiyo8_07240	CDS	472013..472609	delta(8)-fatty-acid desaturase
arh:AHiyo8_07250	CDS	472633..473127	delta(5) fatty acid desaturase fat-4
arh:AHiyo8_07260	CDS	473667..474293	conserved hypothetical protein
arh:AHiyo8_07270	CDS	474250..474495	hypothetical protein
arh:AHiyo8_07280	CDS	complement(474536..475270)	5'-3' exonuclease
arh:AHiyo8_07290	CDS	complement(475555..476166)	hypothetical protein
arh:AHiyo8_07300	CDS	complement(476315..477196)	hypothetical protein
arh:AHiyo8_07310	CDS	477290..477466	drug resistance transporter, EmrB/QacA protein
arh:AHiyo8_07320	CDS	477486..478514	cephamycin export protein CmcT
arh:AHiyo8_07330	CDS	478550..479482	morphine 6-dehydrogenase
arh:AHiyo8_07340	CDS	complement(479504..480544)	thioredoxin reductase
arh:AHiyo8_07350	CDS	480776..481249	transcriptional regulator, XRE family protein
arh:AHiyo8_07360	CDS	complement(481054..481914)	conserved hypothetical protein
arh:AHiyo8_07370	CDS	complement(482363..482563)	HTH-type transcriptional regulator MalT
arh:AHiyo8_07380	CDS	complement(482760..483314)	HTH-type transcriptional regulator MalT
arh:AHiyo8_07390	CDS	complement(483738..485066)	serine/threonine-protein kinase PknK
arh:AHiyo8_07400	CDS	complement(485140..485319)	oxidoreductase domain protein
arh:AHiyo8_07410	CDS	complement(485268..486236)	1,5-anhydro-D-fructose reductase
arh:AHiyo8_07420	CDS	complement(486221..486331)	hypothetical protein
arh:AHiyo8_07430	CDS	complement(486286..486513)	conserved hypothetical protein
arh:AHiyo8_07440	CDS	complement(486555..486962)	conserved hypothetical protein
arh:AHiyo8_07450	CDS	complement(486993..487097)	hypothetical protein
arh:AHiyo8_07460	CDS	complement(487079..487753)	putative ABC transporter permease protein ORF1
arh:AHiyo8_07470	CDS	complement(487884..488657)	probable ABC transporter permease protein y4oQ
arh:AHiyo8_07480	CDS	complement(488861..489139)	protein involved in carbohydrate transport
arh:AHiyo8_07490	CDS	complement(489260..490168)	putative binding protein BRA0748/BS1330_II0741
arh:AHiyo8_07500	CDS	490290..490715	catabolite control protein A
arh:AHiyo8_07510	CDS	490760..491341	HTH-type transcriptional repressor PurR
arh:AHiyo8_07520	CDS	complement(491432..492391)	glyoxylate reductase
arh:AHiyo8_07530	CDS	complement(492388..492714)	aspartate aminotransferase
arh:AHiyo8_07540	CDS	complement(492666..493586)	aspartate aminotransferase
arh:AHiyo8_07550	CDS	complement(493761..494831)	hypothetical protein
arh:AHiyo8_07560	CDS	494996..495262	amylo-Alpha-1,6-Glucosidase
arh:AHiyo8_07570	CDS	complement(496039..496719)	uncharacterized HTH-type transcriptional regulator YdhC
arh:AHiyo8_07580	CDS	496839..497753	formyltetrahydrofolate deformylase
arh:AHiyo8_07590	CDS	497815..498285	sarcosine dehydrogenase, mitochondrial
arh:AHiyo8_07600	CDS	498309..499208	sarcosine dehydrogenase, mitochondrial
arh:AHiyo8_07610	CDS	complement(499177..499392)	hypothetical protein
arh:AHiyo8_07620	CDS	499618..500304	dimethylglycine dehydrogenase, mitochondrial
arh:AHiyo8_07630	CDS	500540..501049	methenyltetrahydrofolate cyclohydrolase
arh:AHiyo8_07640	CDS	501046..501921	bifunctional protein FolD 1
arh:AHiyo8_07650	CDS	complement(501990..502682)	uncharacterized HTH-type transcriptional regulator YdfH
arh:AHiyo8_07660	CDS	502730..504298	uncharacterized oxidoreductase Mb2924c
arh:AHiyo8_07670	CDS	504467..505105	uncharacterized oxidoreductase Mb2924c
arh:AHiyo8_07680	CDS	505175..505519	GTP cyclohydrolase 1
arh:AHiyo8_07690	CDS	505537..505776	GTP cyclohydrolase 1
arh:AHiyo8_07700	CDS	506047..507090	uncharacterized zinc-type alcohol dehydrogenase-like protein YycR
arh:AHiyo8_07710	CDS	507090..507263	uncharacterized zinc-type alcohol dehydrogenase-like protein YycR
arh:AHiyo8_07720	CDS	507504..507896	protein involved in Mo-molybdopterin cofactor metabolic process
arh:AHiyo8_07730	CDS	507890..508771	molybdopterin molybdenumtransferase
arh:AHiyo8_07740	CDS	508781..509584	transcriptional regulator KdgR
arh:AHiyo8_07750	CDS	509728..510003	ABC transporter protein
arh:AHiyo8_07760	CDS	509943..510233	glycine betaine/L-proline transport ATP-binding protein ProV
arh:AHiyo8_07770	CDS	510212..510649	glycine betaine transport ATP-binding protein OpuAA
arh:AHiyo8_07780	CDS	complement(510547..510825)	hypothetical protein
arh:AHiyo8_07790	CDS	510965..512893	glycine betaine/carnitine transport permease protein GbuB
arh:AHiyo8_07800	CDS	512905..513066	hypothetical protein
arh:AHiyo8_07810	CDS	513165..513884	substrate-Binding region of ABC-type glycine betaine transport system protein
arh:AHiyo8_07820	CDS	514196..514513	transporter protein
arh:AHiyo8_07830	CDS	514513..515304	proline/betaine transporter
arh:AHiyo8_07840	CDS	515301..515696	proline/betaine transporter
arh:AHiyo8_07850	CDS	515693..516007	hypothetical protein
arh:AHiyo8_07860	CDS	complement(516209..516820)	HTH-type transcriptional regulator TtuA
arh:AHiyo8_07870	CDS	517221..518525	anthranilate 1,2-dioxygenase large subunit
arh:AHiyo8_07880	CDS	518522..518707	ferredoxin
arh:AHiyo8_07890	CDS	518874..519230	stearoyl-CoA 9-desaturase electron transfer partner
arh:AHiyo8_07900	CDS	519239..519838	ferredoxin
arh:AHiyo8_07910	CDS	519926..520051	hypothetical protein
arh:AHiyo8_07920	CDS	complement(520101..520439)	hypothetical protein
arh:AHiyo8_07930	CDS	complement(520412..521113)	uncharacterized oxidoreductase YccK
arh:AHiyo8_07940	CDS	complement(521573..522622)	xanthan lyase
arh:AHiyo8_07950	CDS	complement(522749..523723)	hyaluronate lyase
arh:AHiyo8_07960	CDS	complement(523944..524753)	D-3-phosphoglycerate dehydrogenase
arh:AHiyo8_07970	CDS	complement(525007..525198)	D-Isomer specific 2-hydroxyacid dehydrogenase, NAD binding
arh:AHiyo8_07980	CDS	complement(525195..526004)	L-arabinose transport system permease protein AraQ
arh:AHiyo8_07990	CDS	complement(526099..527061)	probable ABC transporter permease protein YurN
arh:AHiyo8_08000	CDS	complement(527117..528277)	probable arabinose-binding protein
arh:AHiyo8_08010	CDS	complement(528568..529743)	arabinose metabolism transcriptional repressor
arh:AHiyo8_08020	CDS	529962..530129	hypothetical protein
arh:AHiyo8_08030	CDS	530129..530461	xylose isomerase domain protein TIM barrel
arh:AHiyo8_08040	CDS	530458..530790	xylose isomerase domain protein TIM barrel
arh:AHiyo8_08050	CDS	531033..531482	uncharacterized protein Rv3129/MT3215
arh:AHiyo8_08060	CDS	531721..532143	alpha-crystallin
arh:AHiyo8_08070	CDS	532263..532583	hypothetical protein
arh:AHiyo8_08080	CDS	532833..533276	uncharacterized protein Rv0080/MT0087
arh:AHiyo8_08090	CDS	complement(533409..534272)	universal stress protein Mb2028c
arh:AHiyo8_08100	CDS	complement(534326..534646)	hypothetical protein
arh:AHiyo8_08110	CDS	complement(534687..534842)	beta-Lactamase
arh:AHiyo8_08120	CDS	complement(534886..535704)	uncharacterized protein MJ0162
arh:AHiyo8_08130	CDS	complement(535650..536501)	ribonuclease TTHA0252
arh:AHiyo8_08140	CDS	536881..537579	transcriptional regulatory protein DevR (DosR)
arh:AHiyo8_08150	CDS	complement(537600..538073)	redox sensor histidine kinase response regulator DevS
arh:AHiyo8_08160	CDS	complement(538070..538267)	signal transduction histidine kinase
arh:AHiyo8_08170	CDS	complement(538664..539164)	hypoxia sensor histidine kinase response regulator DosT
arh:AHiyo8_08180	CDS	539266..539949	uncharacterized protein Rv3129/MT3215
arh:AHiyo8_08190	CDS	540135..540476	FMN binding protein
arh:AHiyo8_08200	CDS	540531..541097	S-(hydroxymethyl)glutathione dehydrogenase
arh:AHiyo8_08210	CDS	541228..541596	alcohol dehydrogenase
arh:AHiyo8_08220	CDS	541651..542139	atpase, coupled to transmembrane movement of ions, phosphorylative mechanism
arh:AHiyo8_08230	CDS	542099..542818	silver exporting P-type ATPase
arh:AHiyo8_08240	CDS	543009..543548	cadmium, zinc and cobalt-transporting ATPase
arh:AHiyo8_08250	CDS	543666..543899	hypothetical protein
arh:AHiyo8_08260	CDS	543936..544043	hypothetical protein
arh:AHiyo8_08270	CDS	544355..544528	hypothetical protein
arh:AHiyo8_08280	CDS	544799..545812	acetate kinase
arh:AHiyo8_08290	CDS	complement(545799..545993)	atpase, coupled to transmembrane movement of ions, phosphorylative mechanism
arh:AHiyo8_08300	CDS	complement(545990..548080)	magnesium-transporting ATPase, P-type 1
arh:AHiyo8_08310	CDS	complement(548095..548439)	calcium-transporting ATPase 3
arh:AHiyo8_08320	CDS	548791..549201	probable phosphoketolase
arh:AHiyo8_08330	CDS	549201..549950	probable phosphoketolase
arh:AHiyo8_08340	CDS	complement(549956..550204)	hypothetical protein
arh:AHiyo8_08350	CDS	550665..551024	probable phosphoketolase
arh:AHiyo8_08360	CDS	551012..551209	probable phosphoketolase
arh:AHiyo8_08370	CDS	551601..552074	probable cation-transporting ATPase E
arh:AHiyo8_08380	CDS	552077..552946	probable cation-transporting ATPase E
arh:AHiyo8_08390	CDS	552943..553599	probable cation-transporting ATPase E
arh:AHiyo8_08400	CDS	complement(553707..553958)	conserved hypothetical protein
arh:AHiyo8_08410	CDS	554160..554603	uncharacterized protein Rv0080/MT0087
arh:AHiyo8_08420	CDS	554770..555540	universal stress protein Mb2028c
arh:AHiyo8_08430	CDS	complement(555663..555995)	uncharacterized protein RA0666
arh:AHiyo8_08440	CDS	556161..556328	hypothetical protein
arh:AHiyo8_08450	CDS	556384..556692	cytochrome b/b6 protein
arh:AHiyo8_08460	CDS	556686..557030	cytochrome b/b6 protein
arh:AHiyo8_08470	CDS	557224..557979	cytochrome b/b6 protein
arh:AHiyo8_08480	CDS	558058..559311	bacitracin transport ATP-binding protein BcrA
arh:AHiyo8_08490	CDS	559394..559618	hypothetical protein
arh:AHiyo8_08500	CDS	559618..560052	conserved hypothetical protein
arh:AHiyo8_08510	CDS	560049..560657	conserved hypothetical protein
arh:AHiyo8_08520	CDS	560654..561124	conserved hypothetical protein
arh:AHiyo8_08530	CDS	complement(561148..561867)	inner membrane protein YhaI
arh:AHiyo8_08540	CDS	561889..562734	universal stress protein Rv2623/MT2698
arh:AHiyo8_08550	CDS	complement(562870..563460)	hypothetical protein
arh:AHiyo8_08560	CDS	complement(563672..563923)	glutathione-regulated potassium-efflux system ancillary protein KefG
arh:AHiyo8_08570	CDS	complement(564123..564425)	hypothetical protein
arh:AHiyo8_08580	CDS	complement(564573..565532)	HTH-type transcriptional regulator CdhR
arh:AHiyo8_08590	CDS	complement(566179..566877)	C4-dicarboxylate transport protein
arh:AHiyo8_08600	CDS	complement(566820..567488)	C4-dicarboxylate transport protein
arh:AHiyo8_08610	CDS	complement(567620..568204)	putative isomerase YraM
arh:AHiyo8_08620	CDS	complement(568201..568683)	putative isomerase YbhH
arh:AHiyo8_08630	CDS	568812..569084	HTH-type transcriptional regulator GltR
arh:AHiyo8_08640	CDS	569063..569248	hypothetical protein
arh:AHiyo8_08650	CDS	569188..569562	HTH-type transcriptional regulator GltC
arh:AHiyo8_08660	CDS	complement(569975..570526)	hypothetical protein
arh:AHiyo8_08670	CDS	complement(570523..570891)	hypothetical protein
arh:AHiyo8_08680	CDS	complement(570970..571467)	hypothetical protein
arh:AHiyo8_08690	CDS	571510..572460	uncharacterized HTH-type transcriptional regulator Mb1388c
arh:AHiyo8_08700	CDS	572734..573069	18 kDa antigen
arh:AHiyo8_08710	CDS	573370..573816	chaperone protein DnaJ
arh:AHiyo8_08720	CDS	573853..574227	hypothetical protein
arh:AHiyo8_08730	CDS	574245..574532	hypothetical protein
arh:AHiyo8_08740	CDS	complement(574762..574881)	hypothetical protein
arh:AHiyo8_08750	CDS	575066..575278	hypothetical protein
