chg:AXF12_00010	ncRNA	complement(404..502)	ffs; signal recognition particle sRNA small type
chg:AXF12_02105	CDS	449147..451930	penicillin-binding protein
chg:AXF12_02110	CDS	451942..452997	endonuclease
chg:AXF12_02115	CDS	453080..454234	5-(carboxyamino)imidazole ribonucleotide synthase
chg:AXF12_02120	CDS	complement(454273..455346)	RNA pseudouridine synthase
chg:AXF12_02125	CDS	complement(455396..456004)	penicillin-binding protein
chg:AXF12_02130	CDS	complement(456088..456435)	hypothetical protein
chg:AXF12_02135	CDS	complement(456454..457230)	alpha/beta hydrolase
chg:AXF12_02140	CDS	complement(457240..457671)	hypothetical protein
chg:AXF12_02145	CDS	457780..458457	tRNA (guanine-N7)-methyltransferase
chg:AXF12_02150	CDS	complement(458430..459350)	ABC transporter ATP-binding protein
chg:AXF12_02155	CDS	459729..462035	beta-N-acetylhexosaminidase
chg:AXF12_02160	CDS	462077..463468	peptidase dimerization domain protein
chg:AXF12_02165	tRNA	463597..463673	tRNA-Asn
chg:AXF12_02170	CDS	463884..464456	hypothetical protein
chg:AXF12_02175	CDS	464552..466678	prolyl endopeptidase
chg:AXF12_02180	gene	466955..468330	pseudogene
chg:AXF12_02185	CDS	468393..469064	gliding motility protein GldL
chg:AXF12_02190	CDS	469103..470686	gliding motility protein GldM
chg:AXF12_02195	CDS	470698..471600	gliding motility protein GldN
chg:AXF12_02200	CDS	471760..473421	hypothetical protein
chg:AXF12_02205	CDS	473852..476887	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_02210	CDS	476907..478394	hypothetical protein
chg:AXF12_02215	CDS	478417..479850	hypothetical protein
chg:AXF12_02220	CDS	479924..481663	cycloisomaltooligosaccharide glucanotransferase
chg:AXF12_02225	CDS	481848..484004	alpha-glucosidase
chg:AXF12_02230	CDS	complement(484086..485297)	Bcr/CflA family drug resistance efflux transporter
chg:AXF12_02235	CDS	complement(485830..488256)	zinc-dependent metalloprotease
chg:AXF12_02240	CDS	complement(488485..490281)	hypothetical protein
chg:AXF12_02245	gene	complement(490271..491314)	pseudogene
chg:AXF12_02250	gene	complement(491318..492865)	pseudogene
chg:AXF12_02255	gene	complement(492879..496004)	pseudogene
chg:AXF12_02260	CDS	complement(496187..496951)	hypothetical protein
chg:AXF12_02265	CDS	complement(497029..500136)	hypothetical protein
chg:AXF12_02270	CDS	complement(500955..501464)	hypothetical protein
chg:AXF12_02275	CDS	complement(501466..506322)	hypothetical protein
chg:AXF12_02280	CDS	complement(506648..507796)	glycosyltransferase
chg:AXF12_02285	CDS	complement(507833..508318)	hypothetical protein
chg:AXF12_02290	CDS	508709..509269	hypothetical protein
chg:AXF12_02295	CDS	509314..509745	ribose-5-phosphate isomerase
chg:AXF12_02300	CDS	509759..510490	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA
chg:AXF12_02305	tRNA	510718..510794	tRNA-Thr
chg:AXF12_02310	tRNA	510828..510912	tRNA-Tyr
chg:AXF12_02315	tRNA	510917..510992	tRNA-Gly
chg:AXF12_02320	tRNA	511062..511136	tRNA-Thr
chg:AXF12_02325	CDS	511197..512384	tuf; elongation factor Tu
chg:AXF12_02330	tRNA	512461..512534	tRNA-Trp
chg:AXF12_02335	CDS	512769..514538	Xaa-Pro aminopeptidase
chg:AXF12_02340	CDS	514580..515410	hypothetical protein
chg:AXF12_02345	CDS	complement(515405..516679)	phosphoribosylamine--glycine ligase
chg:AXF12_02350	CDS	complement(516710..517495)	NAD(+) synthetase
chg:AXF12_02355	CDS	complement(517527..518066)	methyltransferase
chg:AXF12_02360	CDS	complement(518181..519854)	gliding motility lipoprotein GldJ
chg:AXF12_02365	CDS	complement(520056..521090)	phosphate transporter
chg:AXF12_02370	CDS	complement(521214..522467)	exonuclease sbcCD subunit D
chg:AXF12_02375	CDS	complement(522470..523324)	iron-regulated protein
chg:AXF12_02380	CDS	complement(523330..524010)	hydrolase
chg:AXF12_02385	CDS	complement(524016..524915)	1,4-dihydroxy-2-naphthoate octaprenyltransferase
chg:AXF12_02390	CDS	complement(524965..525906)	hydroxyacid dehydrogenase
chg:AXF12_02395	CDS	526079..526645	peptidyl-tRNA hydrolase
chg:AXF12_02400	CDS	526652..527110	copper resistance protein CopD
chg:AXF12_02405	CDS	527168..528259	methyltransferase
chg:AXF12_02410	CDS	528357..529118	hypothetical protein
chg:AXF12_02415	CDS	529138..530001	NAD(P)-dependent oxidoreductase
chg:AXF12_02420	CDS	complement(529998..530996)	cation transporter
chg:AXF12_02425	CDS	complement(531064..532428)	DNA repair protein RadA
chg:AXF12_02430	CDS	complement(532433..533308)	glucose-1-phosphate thymidylyltransferase
chg:AXF12_02435	CDS	complement(533353..533550)	hypothetical protein
chg:AXF12_02440	CDS	complement(533632..534798)	metallophosphoesterase
chg:AXF12_02445	CDS	complement(534915..535508)	hypothetical protein
chg:AXF12_02450	CDS	complement(535533..536048)	nitroreductase
chg:AXF12_02455	CDS	complement(536583..537581)	deacetylase
chg:AXF12_02460	CDS	complement(537697..539442)	pyruvate dehydrogenase
chg:AXF12_02465	CDS	539556..540221	hypothetical protein
chg:AXF12_02470	CDS	540233..540595	hypothetical protein
chg:AXF12_02475	CDS	540718..542238	amino acid transporter
chg:AXF12_02480	CDS	542331..543332	glycerol-3-phosphate dehydrogenase
chg:AXF12_02485	CDS	543570..544157	riboflavin synthase subunit alpha
chg:AXF12_02490	CDS	complement(544185..545039)	acyl-phosphate glycerol 3-phosphate acyltransferase
chg:AXF12_02495	CDS	545166..549056	beta-galactosidase
chg:AXF12_02500	CDS	complement(549184..549567)	hypothetical protein
chg:AXF12_02505	CDS	549856..550401	hypothetical protein
chg:AXF12_02510	CDS	550408..551046	leucyl/phenylalanyl-tRNA--protein transferase
chg:AXF12_02515	CDS	complement(551048..552346)	tRNA(Ile)-lysidine synthetase
chg:AXF12_02520	CDS	complement(552349..553203)	aminotransferase class IV
chg:AXF12_02525	CDS	complement(553221..553607)	hypothetical protein
chg:AXF12_02530	CDS	complement(553697..555262)	ribonuclease Y
chg:AXF12_02535	CDS	complement(555479..555769)	cell division protein ZapA
chg:AXF12_02540	CDS	complement(555773..556066)	hypothetical protein
chg:AXF12_02545	CDS	complement(556251..557261)	hypothetical protein
chg:AXF12_02550	CDS	complement(557547..559178)	groEL; molecular chaperone GroEL
chg:AXF12_02555	CDS	complement(559204..559482)	co-chaperone GroES
chg:AXF12_02560	CDS	complement(559637..560017)	preprotein translocase subunit SecG
chg:AXF12_02565	CDS	complement(560026..560853)	hypothetical protein
chg:AXF12_02570	CDS	complement(560938..561432)	hypothetical protein
chg:AXF12_02575	CDS	complement(561612..562727)	hypothetical protein
chg:AXF12_02580	CDS	complement(563204..564238)	hypothetical protein
chg:AXF12_02585	CDS	complement(564377..565585)	hypothetical protein
chg:AXF12_02590	CDS	complement(565965..573062)	cell surface protein SprA
chg:AXF12_02595	CDS	complement(573204..573788)	Holliday junction ATP-dependent DNA helicase RuvA
chg:AXF12_02600	CDS	complement(573966..577283)	hypothetical protein
chg:AXF12_02605	CDS	578346..581411	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_02610	CDS	581423..582814	hypothetical protein
chg:AXF12_02615	rRNA	583160..584684	16S ribosomal RNA
chg:AXF12_02620	tRNA	584868..584944	tRNA-Ile
chg:AXF12_02625	tRNA	585090..585166	tRNA-Ala
chg:AXF12_02630	rRNA	585322..588165	23S ribosomal RNA
chg:AXF12_02635	rRNA	588278..588385	rrf; 5S ribosomal RNA
chg:AXF12_02640	gene	588446..589790	pseudogene
chg:AXF12_02645	CDS	complement(589903..591489)	hypothetical protein
chg:AXF12_02650	CDS	complement(591566..592840)	hypothetical protein
chg:AXF12_02655	CDS	complement(592945..595560)	hypothetical protein
chg:AXF12_02660	CDS	595993..596796	haloacid dehalogenase
chg:AXF12_02665	CDS	596883..597605	metallophosphatase
chg:AXF12_02670	CDS	597627..599777	peptidase S9
chg:AXF12_02675	CDS	599777..600130	hypothetical protein
chg:AXF12_02680	CDS	600267..602441	nitric oxide synthase
chg:AXF12_02685	CDS	602583..603107	acetoin utilization protein acuB
chg:AXF12_02690	CDS	603112..603996	ppnK; NAD(+) kinase
chg:AXF12_02695	CDS	603999..604634	beta-phosphoglucomutase
chg:AXF12_02700	CDS	604683..605507	methyltransferase
chg:AXF12_02705	CDS	605628..608231	DNA topoisomerase IV
chg:AXF12_02710	CDS	608257..609858	hypothetical protein
chg:AXF12_02715	CDS	610164..613145	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_02720	CDS	613186..614679	hypothetical protein
chg:AXF12_02725	CDS	614685..616145	glucosylceramidase
chg:AXF12_02730	CDS	616500..617204	lipase
chg:AXF12_02735	CDS	617240..619429	glycosyl hydrolase
chg:AXF12_02740	CDS	complement(619607..621895)	glycosyl hydrolase
chg:AXF12_02745	CDS	complement(621899..623317)	beta-glucosidase
chg:AXF12_02750	CDS	complement(623725..624528)	phospholipase
chg:AXF12_02755	CDS	complement(624518..625351)	hypothetical protein
chg:AXF12_02760	CDS	complement(625392..626927)	hypothetical protein
chg:AXF12_02765	CDS	complement(626940..629975)	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_02770	CDS	complement(630152..633007)	regulator
chg:AXF12_02775	CDS	complement(633212..634303)	peptide methionine sulfoxide reductase
chg:AXF12_02780	CDS	complement(634517..635281)	hypothetical protein
chg:AXF12_02785	CDS	635396..636376	hypothetical protein
chg:AXF12_02790	CDS	complement(636475..637755)	glutamate-1-semialdehyde aminotransferase
chg:AXF12_02795	CDS	complement(637835..638764)	sugar kinase
chg:AXF12_02800	CDS	complement(638920..640089)	hypothetical protein
chg:AXF12_02805	gene	complement(640174..641390)	pseudogene
chg:AXF12_02810	CDS	complement(641458..642045)	hypothetical protein
chg:AXF12_02815	CDS	complement(642165..643136)	hypothetical protein
chg:AXF12_02820	CDS	complement(643239..644219)	hypothetical protein
chg:AXF12_02825	CDS	645011..646396	hypothetical protein
chg:AXF12_02830	CDS	646542..647219	hypothetical protein
chg:AXF12_02835	CDS	647318..648583	hemolysin
chg:AXF12_02840	CDS	complement(649200..650003)	hypothetical protein
chg:AXF12_02845	CDS	complement(650049..653717)	phosphoribosylformylglycinamidine synthase
chg:AXF12_02850	CDS	654220..656487	aconitate hydratase
chg:AXF12_02855	CDS	656630..657259	hypothetical protein
chg:AXF12_02860	CDS	complement(657263..659203)	sulfatase
chg:AXF12_02865	CDS	complement(659219..660388)	glycosyl transferase
chg:AXF12_02870	CDS	complement(660395..661465)	glycosyl transferase family 1
chg:AXF12_02875	CDS	661793..662806	hypothetical protein
chg:AXF12_02880	CDS	complement(662760..664001)	hypothetical protein
chg:AXF12_02885	CDS	complement(663985..665100)	hypothetical protein
chg:AXF12_02890	CDS	complement(665097..665867)	glycosyl transferase family 2
chg:AXF12_02895	gene	complement(665874..666428)	pseudogene
chg:AXF12_02900	CDS	complement(666437..666640)	hypothetical protein
chg:AXF12_02905	CDS	complement(666732..667544)	hypothetical protein
chg:AXF12_02910	CDS	complement(667746..667988)	hypothetical protein
chg:AXF12_02915	CDS	complement(668061..670022)	DNA primase
chg:AXF12_02920	CDS	complement(670235..670906)	hypothetical protein
chg:AXF12_02925	CDS	complement(670941..671798)	hypothetical protein
chg:AXF12_02930	CDS	671991..673157	hypothetical protein
chg:AXF12_02935	CDS	673817..675268	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase MiaB
chg:AXF12_02940	CDS	675278..675778	hypothetical protein
chg:AXF12_02945	CDS	675799..676005	hypothetical protein
chg:AXF12_02950	CDS	676017..676226	hypothetical protein
chg:AXF12_02955	CDS	676236..676712	S-ribosylhomocysteinase
chg:AXF12_02960	CDS	676881..677999	chromosome partitioning protein
chg:AXF12_02965	CDS	678080..678319	hypothetical protein
chg:AXF12_02970	gene	678402..678899	pseudogene
chg:AXF12_02975	CDS	678986..679714	pyridoxine 5'-phosphate synthase
chg:AXF12_02980	CDS	679746..679937	hypothetical protein
chg:AXF12_02985	CDS	679921..680325	hypothetical protein
chg:AXF12_02990	CDS	680387..681397	fructose-bisphosphatase
chg:AXF12_02995	tRNA	681561..681636	tRNA-Phe
chg:AXF12_03000	CDS	682104..684062	1,4-alpha-glucan branching protein
chg:AXF12_03005	gene	684156..684553	pseudogene
chg:AXF12_03010	gene	684672..686609	pseudogene
chg:AXF12_03015	CDS	686833..687186	hypothetical protein
chg:AXF12_03020	CDS	687300..688589	4-alpha-glucanotransferase
chg:AXF12_03025	CDS	688605..689792	alpha-amylase
chg:AXF12_03030	CDS	complement(689858..690646)	peptidase M48
chg:AXF12_03035	CDS	complement(690646..691077)	hypothetical protein
chg:AXF12_03040	CDS	complement(691074..691487)	hypothetical protein
chg:AXF12_03045	CDS	complement(691471..691812)	hypothetical protein
chg:AXF12_03050	CDS	692344..693825	hypothetical protein
chg:AXF12_03055	CDS	693832..694317	flagellin biosynthesis protein FlgD
chg:AXF12_03060	CDS	694406..694891	hypothetical protein
chg:AXF12_03065	CDS	694989..695975	delta-aminolevulinic acid dehydratase
chg:AXF12_03070	CDS	complement(696062..699769)	hypothetical protein
chg:AXF12_03075	CDS	complement(699858..700109)	50S ribosomal protein L31
chg:AXF12_03080	CDS	complement(700397..700909)	hypothetical protein
chg:AXF12_03085	CDS	complement(701076..702197)	arginase
chg:AXF12_03090	CDS	702532..703752	cysteine sulfinate desulfinase
chg:AXF12_03095	CDS	703780..704391	peptidase M15
chg:AXF12_03100	tRNA	complement(704439..704515)	tRNA-Arg
chg:AXF12_03105	CDS	complement(704524..704973)	glutamyl-tRNA amidotransferase
chg:AXF12_03110	CDS	complement(705042..705608)	gliding motility lipoprotein GldD
chg:AXF12_03115	CDS	complement(705692..706000)	hypothetical protein
chg:AXF12_03120	CDS	complement(706034..706723)	amidophosphoribosyltransferase
chg:AXF12_03125	CDS	706873..708414	glycine--tRNA ligase
chg:AXF12_03130	CDS	708428..708985	histidine kinase
chg:AXF12_03135	CDS	complement(709036..709512)	6,7-dimethyl-8-ribityllumazine synthase
chg:AXF12_03140	CDS	complement(709524..710312)	hypothetical protein
chg:AXF12_03145	CDS	complement(710483..711787)	MFS transporter
chg:AXF12_03150	CDS	712163..713008	ADP-L-glycero-D-manno-heptose-6-epimerase
chg:AXF12_03155	CDS	713015..713896	hypothetical protein
chg:AXF12_03160	CDS	713924..716170	alpha-mannosidase
chg:AXF12_03165	CDS	716354..716830	transcription elongation factor GreA
chg:AXF12_03170	CDS	716859..717254	HIT family hydrolase
chg:AXF12_03175	CDS	complement(717365..717682)	thioredoxin
chg:AXF12_03180	CDS	complement(717790..718566)	hypothetical protein
chg:AXF12_03185	CDS	complement(718627..721149)	DNA topoisomerase I
chg:AXF12_03190	CDS	complement(721467..722168)	hypothetical protein
chg:AXF12_03195	CDS	722410..722742	hypothetical protein
chg:AXF12_03200	CDS	722814..723323	hypothetical protein
chg:AXF12_03205	CDS	723425..725569	protease 2
chg:AXF12_03210	CDS	725600..726190	hypothetical protein
chg:AXF12_03215	CDS	726213..726392	hypothetical protein
chg:AXF12_03220	CDS	726424..726741	hypothetical protein
chg:AXF12_03225	CDS	726732..727640	ribonuclease Z
chg:AXF12_03230	CDS	complement(727637..728110)	colicin V production CvpA
chg:AXF12_03235	CDS	728410..729732	glucose/galactose transporter
chg:AXF12_03240	CDS	complement(729791..731476)	lysine--tRNA ligase
chg:AXF12_03245	CDS	complement(731522..732793)	serine--tRNA ligase
chg:AXF12_03250	CDS	complement(732995..733933)	GTPase RsgA
chg:AXF12_03255	CDS	complement(733937..735892)	hypothetical protein
chg:AXF12_03260	CDS	complement(736010..737218)	aminotransferase class III
chg:AXF12_03265	CDS	737596..738036	hypothetical protein
chg:AXF12_03270	CDS	complement(738432..738551)	glycosyltransferase
chg:AXF12_03275	CDS	complement(738854..741172)	collagen-binding protein
chg:AXF12_03280	CDS	741212..742012	transposase
chg:AXF12_03285	CDS	complement(742050..742241)	hypothetical protein
chg:AXF12_03290	CDS	complement(742344..743150)	hypothetical protein
chg:AXF12_03295	CDS	complement(743164..743937)	hypothetical protein
chg:AXF12_03300	CDS	complement(743948..744418)	damage-inducible protein DinB
chg:AXF12_03305	CDS	complement(744574..744966)	hypothetical protein
chg:AXF12_03310	CDS	complement(745023..747317)	hypothetical protein
chg:AXF12_03315	CDS	complement(747473..747880)	crossover junction endodeoxyribonuclease RuvA
chg:AXF12_03320	CDS	complement(747861..748118)	hypothetical protein
chg:AXF12_03325	CDS	complement(748443..748874)	hypothetical protein
chg:AXF12_03330	CDS	749657..750697	beta-ketoacyl synthase
chg:AXF12_03335	CDS	750883..751068	preprotein translocase subunit SecE
chg:AXF12_03340	CDS	751080..751631	antitermination protein NusG
chg:AXF12_03345	CDS	751683..752120	50S ribosomal protein L11
chg:AXF12_03350	CDS	752133..752822	50S ribosomal protein L1
chg:AXF12_03355	CDS	752845..753363	50S ribosomal protein L10
chg:AXF12_03360	CDS	753413..753793	50S ribosomal protein L7/L12
chg:AXF12_03365	CDS	753978..757781	rpoB; DNA-directed RNA polymerase subunit beta
chg:AXF12_03370	CDS	757976..758701	nitroreductase
chg:AXF12_03375	CDS	758816..759541	nitroreductase
chg:AXF12_03380	CDS	760048..760701	hypothetical protein
chg:AXF12_03385	CDS	760716..761207	hypothetical protein
chg:AXF12_03390	CDS	761251..762324	hypothetical protein
chg:AXF12_03395	CDS	762514..766818	DNA-directed RNA polymerase subunit beta'
chg:AXF12_03400	CDS	766811..767122	hypothetical protein
chg:AXF12_03405	CDS	complement(767215..767787)	GTP-binding protein
chg:AXF12_03410	CDS	complement(767834..768595)	alpha/beta hydrolase
chg:AXF12_03415	CDS	768783..768974	hypothetical protein
chg:AXF12_03420	CDS	769198..770511	ribosomal protein S12 methylthiotransferase RimO
chg:AXF12_03425	CDS	770583..771719	cytochrome-c peroxidase
chg:AXF12_03430	CDS	771790..772464	hypothetical protein
chg:AXF12_03435	CDS	772622..773944	sodium:proton antiporter
chg:AXF12_03440	CDS	774050..775867	glycerol acyltransferase
chg:AXF12_03445	CDS	775953..776561	hypothetical protein
chg:AXF12_03450	CDS	776629..777363	hypothetical protein
chg:AXF12_03455	CDS	777370..777906	hypothetical protein
chg:AXF12_03460	CDS	777972..778904	hypothetical protein
chg:AXF12_03465	CDS	778908..779966	hypothetical protein
chg:AXF12_03470	CDS	780190..780924	hypothetical protein
chg:AXF12_03475	CDS	781001..781459	hypothetical protein
chg:AXF12_03480	CDS	781469..782320	hypothetical protein
chg:AXF12_03485	CDS	782322..783317	modification methylase
chg:AXF12_03490	CDS	783330..783884	hypothetical protein
chg:AXF12_03495	CDS	783885..784430	RNA 2'-phosphotransferase
chg:AXF12_03500	CDS	784458..784844	hypothetical protein
chg:AXF12_03505	CDS	785127..786578	Fe-S cluster assembly protein SufB
chg:AXF12_03510	CDS	786614..787030	5-hydroxyisourate hydrolase
chg:AXF12_03515	CDS	787337..787657	hypothetical protein
chg:AXF12_03520	CDS	787871..788614	sufC; Fe-S cluster assembly ATPase SufC
chg:AXF12_03525	CDS	788726..790015	Fe-S cluster assembly protein SufD
chg:AXF12_03530	CDS	790055..790612	hypothetical protein
chg:AXF12_03535	CDS	790688..791374	hypothetical protein
chg:AXF12_03540	CDS	complement(791466..792167)	two-component system response regulator
chg:AXF12_03545	CDS	complement(792171..793166)	histidine kinase
chg:AXF12_03550	CDS	complement(793163..793390)	succinylglutamate-semialdehyde dehydrogenase
chg:AXF12_03555	CDS	complement(793428..794648)	multidrug ABC transporter substrate-binding protein
chg:AXF12_03560	CDS	complement(794726..795481)	ABC transporter ATP-binding protein
chg:AXF12_03565	CDS	complement(795478..796737)	efflux transporter periplasmic adaptor subunit
chg:AXF12_03570	CDS	complement(796805..798121)	transporter
chg:AXF12_03575	CDS	798434..800215	arginine--tRNA ligase
chg:AXF12_03580	tRNA	800344..800416	tRNA-Gly
chg:AXF12_03585	tRNA	800441..800529	tRNA-Leu
chg:AXF12_03590	CDS	complement(800584..801048)	Appr-1-p processing protein
chg:AXF12_03595	CDS	complement(801058..801912)	F0F1 ATP synthase subunit gamma
chg:AXF12_03600	CDS	complement(801957..802772)	hypothetical protein
chg:AXF12_03605	CDS	complement(802777..803367)	hypothetical protein
chg:AXF12_03610	CDS	complement(803439..805019)	ATP synthase subunit alpha
chg:AXF12_03615	CDS	complement(805058..805606)	ATP synthase subunit delta
chg:AXF12_03620	CDS	complement(805613..806104)	ATP F0F1 synthase subunit B
chg:AXF12_03625	CDS	complement(806183..806383)	ATP synthase F0 subunit C
chg:AXF12_03630	CDS	complement(806473..807549)	ATP synthase F0 subunit A
chg:AXF12_03635	CDS	complement(807695..808213)	adenine phosphoribosyltransferase
chg:AXF12_03640	CDS	complement(808217..809155)	amidinotransferase
chg:AXF12_03645	CDS	complement(809419..810333)	amidinotransferase
chg:AXF12_03650	CDS	complement(810553..811491)	phosphatidylinositol kinase
chg:AXF12_03655	CDS	complement(811499..811819)	phosphatidylinositol kinase
chg:AXF12_03660	CDS	complement(811819..812028)	XRE family transcriptional regulator
chg:AXF12_03665	CDS	812335..816798	DNA polymerase III subunit alpha
chg:AXF12_03670	CDS	complement(816801..817685)	GTPase Era
chg:AXF12_03675	CDS	817953..818900	hypothetical protein
chg:AXF12_03680	CDS	818897..819493	dephospho-CoA kinase
chg:AXF12_03685	CDS	819566..821158	histidine kinase
chg:AXF12_03690	CDS	821200..821946	two-component system response regulator
chg:AXF12_03695	CDS	822056..822973	hypothetical protein
chg:AXF12_03700	CDS	complement(822979..823800)	endonuclease
chg:AXF12_03705	CDS	823914..824108	hypothetical protein
chg:AXF12_03710	CDS	824134..824379	hypothetical protein
chg:AXF12_03715	CDS	824912..825646	hypothetical protein
chg:AXF12_03720	CDS	825634..827034	RNA-splicing ligase RtcB
chg:AXF12_03725	CDS	827131..827850	peptide chain release factor H
chg:AXF12_03730	CDS	828548..829396	2,5-diketo-D-gluconic acid reductase
chg:AXF12_03735	CDS	829409..830170	hypothetical protein
chg:AXF12_03740	tRNA	830341..830412	tRNA-Glu
chg:AXF12_03745	tRNA	830438..830512	tRNA-Glu
chg:AXF12_03750	CDS	830578..830835	30S ribosomal protein S20
chg:AXF12_03755	CDS	830932..832044	hypothetical protein
chg:AXF12_03760	CDS	complement(832066..834531)	hybrid sensor histidine kinase/response regulator
chg:AXF12_03765	CDS	834743..835993	hypothetical protein
chg:AXF12_03770	CDS	836651..838408	autotransporter protein
chg:AXF12_03775	rRNA	838676..840200	16S ribosomal RNA
chg:AXF12_03780	tRNA	840384..840460	tRNA-Ile
chg:AXF12_03785	tRNA	840613..840689	tRNA-Ala
chg:AXF12_03790	rRNA	840845..843690	23S ribosomal RNA
chg:AXF12_03795	rRNA	843803..843910	rrf; 5S ribosomal RNA
chg:AXF12_03800	CDS	complement(843945..845585)	acyl-CoA--6-aminopenicillanic acid acyl-transferase
chg:AXF12_03805	CDS	complement(845724..846974)	sulfate adenylyltransferase
chg:AXF12_03810	CDS	847420..847665	acyl carrier protein
chg:AXF12_03815	CDS	847658..848554	lipid A biosynthesis acyltransferase
chg:AXF12_03820	CDS	848554..849450	dialkylrecorsinol condensing enzyme DarA
chg:AXF12_03825	CDS	849536..850672	3-oxoacyl-ACP synthase
chg:AXF12_03830	CDS	850747..851163	hypothetical protein
chg:AXF12_03835	CDS	851253..851693	acyl carrier protein
chg:AXF12_03840	CDS	851690..852088	hypothetical protein
chg:AXF12_03845	CDS	852210..853685	sulfatase
chg:AXF12_03850	CDS	853766..855109	hypothetical protein
chg:AXF12_03855	CDS	855440..856249	enoyl-ACP reductase
chg:AXF12_03860	CDS	856323..856532	membrane protein insertion efficiency factor YidD
chg:AXF12_03865	CDS	856545..857894	dGTPase
chg:AXF12_03870	tRNA	858081..858157	tRNA-Asp
chg:AXF12_03875	CDS	complement(858438..859610)	beta-galactosidase
chg:AXF12_03880	CDS	complement(859933..861600)	glucan endo-1,3-beta-D-glucosidase
chg:AXF12_03885	CDS	complement(861608..863167)	PKD domain protein
chg:AXF12_03890	CDS	complement(863180..864655)	hypothetical protein
chg:AXF12_03895	CDS	complement(864667..867681)	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_03900	CDS	complement(867929..870727)	histidine kinase
chg:AXF12_03905	CDS	870904..872040	hypothetical protein
chg:AXF12_03910	CDS	complement(872079..872987)	molybdenum cofactor biosynthesis protein MoaC
chg:AXF12_03915	gene	complement(873313..873752)	pseudogene
chg:AXF12_03920	CDS	complement(874093..875184)	molybdenum cofactor biosynthesis protein
chg:AXF12_03925	CDS	complement(875196..875435)	hypothetical protein
chg:AXF12_03930	CDS	complement(875440..876801)	MFS transporter
chg:AXF12_03935	CDS	complement(876842..878314)	MFS transporter
chg:AXF12_03940	CDS	complement(878625..880025)	hypothetical protein
chg:AXF12_03945	CDS	complement(880048..880755)	hypothetical protein
chg:AXF12_03950	CDS	complement(881035..883107)	hypothetical protein
chg:AXF12_03955	CDS	complement(883104..883751)	hypothetical protein
chg:AXF12_03960	CDS	complement(883783..885828)	hypothetical protein
chg:AXF12_03965	CDS	complement(886233..886853)	hypothetical protein
chg:AXF12_03970	CDS	complement(886898..889000)	TonB-dependent receptor
chg:AXF12_03975	CDS	complement(889020..889550)	hypothetical protein
chg:AXF12_03980	CDS	complement(889555..889893)	molybdenum transporter
chg:AXF12_03985	CDS	complement(889890..891086)	molybdenum cofactor biosynthesis protein
chg:AXF12_03990	CDS	complement(891140..892039)	cyclic pyranopterin phosphate synthase MoaA
chg:AXF12_03995	CDS	complement(892122..892421)	C4-dicarboxylate ABC transporter permease
chg:AXF12_04000	CDS	complement(892491..893027)	(2Fe-2S)-binding protein
chg:AXF12_04005	CDS	complement(893051..893626)	4Fe-4S ferredoxin
chg:AXF12_04010	CDS	complement(893727..895979)	nitrite reductase
chg:AXF12_04015	CDS	complement(896070..897125)	MFS transporter
chg:AXF12_04020	CDS	complement(897339..898556)	beta-ketoacyl synthase
chg:AXF12_04025	CDS	complement(898745..899305)	hypothetical protein
chg:AXF12_04030	CDS	899536..900279	hypothetical protein
chg:AXF12_04035	CDS	complement(900316..900798)	hypothetical protein
chg:AXF12_04040	CDS	complement(900791..901303)	peptidoglycan hydrolase
chg:AXF12_04045	CDS	complement(901323..901781)	hypothetical protein
chg:AXF12_04050	CDS	complement(901769..901978)	hypothetical protein
chg:AXF12_04055	CDS	complement(902055..902936)	hypothetical protein
chg:AXF12_04060	CDS	complement(902998..903786)	hypothetical protein
chg:AXF12_04065	CDS	904649..906778	peptidase S46
chg:AXF12_04070	CDS	907022..907678	2-deoxyribose-5-phosphate aldolase
chg:AXF12_04075	CDS	907680..908447	exodeoxyribonuclease III
chg:AXF12_04080	CDS	complement(908473..910509)	phosphohydrolase
chg:AXF12_04085	CDS	complement(910534..910944)	hypothetical protein
chg:AXF12_04090	CDS	complement(910928..911218)	hypothetical protein
chg:AXF12_04095	CDS	complement(911416..912000)	hypothetical protein
chg:AXF12_04100	gene	912405..912664	pseudogene
chg:AXF12_04105	CDS	913021..913776	hypothetical protein
chg:AXF12_04110	CDS	913793..914272	hypothetical protein
chg:AXF12_04115	gene	914346..915119	pseudogene
chg:AXF12_04120	CDS	915258..916340	glycine cleavage system protein T
chg:AXF12_04125	CDS	916380..916814	hypothetical protein
chg:AXF12_04130	CDS	916948..918786	hypothetical protein
chg:AXF12_04135	CDS	918849..923279	hypothetical protein
chg:AXF12_04140	CDS	complement(923296..925692)	hypothetical protein
chg:AXF12_04145	CDS	complement(925775..926446)	hypothetical protein
chg:AXF12_04150	CDS	complement(926509..928050)	ribonuclease G
chg:AXF12_04155	CDS	complement(928311..928616)	DNA-binding protein
chg:AXF12_04160	CDS	complement(928789..930021)	3-phosphoshikimate 1-carboxyvinyltransferase
