ctrn:L3404_pLN_1	gene	pL3404:join(165..227,227..997)	pseudogene
ctrn:L3404_00360	CDS	394208..395797	ABC transporter ATP-binding protein
ctrn:L3404_00361	CDS	395833..396423	Maf-like protein
ctrn:L3404_00362	CDS	396405..398105	hypothetical protein
ctrn:L3404_00363	CDS	398112..400214	Organic solvent tolerance protein OstA
ctrn:L3404_00364	CDS	complement(400288..400596)	preprotein translocase subunit SecG
ctrn:L3404_00365	CDS	complement(400752..401297)	peptide deformylase
ctrn:L3404_00366	CDS	complement(401572..402405)	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein
ctrn:L3404_00367	CDS	complement(402421..403473)	hypothetical protein
ctrn:L3404_00368	CDS	complement(403787..405949)	Thioredoxin-related protein
ctrn:L3404_00369	tRNA	406115..406203	tRNA-Ser
ctrn:L3404_00370	CDS	406358..406690	hypothetical protein
ctrn:L3404_00371	CDS	406716..407228	hypothetical protein
ctrn:L3404_00372	CDS	complement(407310..407900)	BioY family protein
ctrn:L3404_00373	CDS	complement(407955..408209)	hypothetical protein
ctrn:L3404_00374	CDS	complement(408152..408778)	hypothetical protein
ctrn:L3404_00375	CDS	complement(408940..409800)	dihydrodipicolinate synthase
ctrn:L3404_00376	CDS	complement(409810..411105)	aspartate kinase
ctrn:L3404_00377	CDS	complement(411098..412102)	aspartate-semialdehyde dehydrogenase
ctrn:L3404_00378	CDS	complement(412112..412873)	dihydrodipicolinate reductase
ctrn:L3404_00379	CDS	complement(413050..414777)	hypothetical protein
ctrn:L3404_00380	CDS	414947..416269	3-phosphoshikimate 1-carboxyvinyltransferase
ctrn:L3404_00381	CDS	416211..416765	shikimate kinase
ctrn:L3404_00382	CDS	416758..417831	chorismate synthase
ctrn:L3404_00383	CDS	417828..418949	3-dehydroquinate synthase
ctrn:L3404_00384	CDS	418930..420372	bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase protein
ctrn:L3404_00385	CDS	420414..421199	hypothetical protein
ctrn:L3404_00386	CDS	421283..422668	Carbohydrate-selective porin
ctrn:L3404_00387	CDS	422737..423120	pyruvoyl-dependent arginine decarboxylase
ctrn:L3404_00388	CDS	423340..424791	arginine:agmatin antiporter
ctrn:L3404_00389	CDS	424963..426021	bifunctional tRNA (mnm(5)s(2)U34)-methyltransferase/FAD-dependent cmnm(5)s(2)U34 oxidoreductase
ctrn:L3404_00390	CDS	complement(426063..427043)	malate dehydrogenase
ctrn:L3404_00391	CDS	complement(427233..427373)	hypothetical protein
ctrn:L3404_00392	CDS	complement(427488..429065)	glucose-6-phosphate isomerase
ctrn:L3404_00393	CDS	complement(429178..430521)	GTPase HflX
ctrn:L3404_00394	CDS	complement(430534..431334)	putative hydrolase
ctrn:L3404_00395	CDS	complement(431363..432136)	putative ABC transporter arginine-biding protein
ctrn:L3404_00396	CDS	complement(432205..433041)	3-deoxy-7-phosphoheptulonate synthase
ctrn:L3404_00397	CDS	complement(433178..433369)	hypothetical protein
ctrn:L3404_00398	CDS	433552..434283	hypothetical protein
ctrn:L3404_00399	CDS	complement(434294..435913)	hypothetical protein
ctrn:L3404_00400	CDS	complement(435928..436263)	purine nucleoside phosphoramidase
ctrn:L3404_00401	CDS	complement(436260..437129)	hypothetical protein
ctrn:L3404_00402	CDS	437416..439491	hypothetical protein
ctrn:L3404_00403	CDS	complement(439505..439852)	hypothetical protein
ctrn:L3404_00404	CDS	440037..441260	hypothetical protein
ctrn:L3404_00405	CDS	441368..442552	L,L-diaminopimelate aminotransferase
ctrn:L3404_00406	CDS	442560..443567	ABC-type uncharacterized transport system, periplasmic component
ctrn:L3404_00407	CDS	complement(443576..444706)	hypothetical protein
ctrn:L3404_00408	CDS	444907..446652	prolyl-tRNA synthetase
ctrn:L3404_00409	CDS	446721..447899	heat-inducible transcription repressor
ctrn:L3404_00410	CDS	447896..448468	heat shock protein GrpE
ctrn:L3404_00411	CDS	448494..450476	molecular chaperone DnaK
ctrn:L3404_00412	CDS	450769..452853	exoribonuclease R
ctrn:L3404_00413	CDS	453109..453873	hypothetical protein
ctrn:L3404_00414	CDS	complement(454296..455282)	D-arabinose 5-phosphate isomerase
ctrn:L3404_00415	CDS	complement(455314..456480)	branched-chain alpha-keto acid dehydrogenase subunit E2
ctrn:L3404_00416	CDS	complement(456726..457964)	C4-dicarboxylate transporter DctA
ctrn:L3404_00417	CDS	complement(457961..459070)	tetraacyldisaccharide 4'-kinase
ctrn:L3404_00418	CDS	complement(459236..460045)	23S rRNA (guanosine-2'-O-)-methyltransferase
ctrn:L3404_00419	CDS	complement(460033..460860)	23S rRNA m(2) methyltransferase
ctrn:L3404_00420	CDS	complement(460857..461456)	riboflavin synthase subunit alpha
ctrn:L3404_00421	CDS	461849..462313	transcriptional regulator NrdR
ctrn:L3404_00422	CDS	462327..462701	RNA polymerase-binding transcription factor
ctrn:L3404_00423	CDS	462707..463210	lipoprotein signal peptidase
ctrn:L3404_00424	CDS	463312..464673	Na+/alanine symporter
ctrn:L3404_00425	CDS	464889..466166	poly(A) polymerase I
ctrn:L3404_00426	CDS	466227..468050	lipid-A-disaccharide synthase
ctrn:L3404_00427	CDS	468157..471084	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00428	CDS	471223..476472	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00429	CDS	476648..481972	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00430	tRNA	complement(482128..482217)	tRNA-Ser
ctrn:L3404_00431	CDS	482525..483355	high-affinity zinc transporter periplasmic component
ctrn:L3404_00432	CDS	483352..484062	hemin importer ATP-binding subunit
ctrn:L3404_00433	CDS	484059..484934	high-affinity zinc transporter membrane component
ctrn:L3404_00434	CDS	complement(484850..485857)	GTPase CgtA
ctrn:L3404_00435	CDS	complement(485947..486198)	50S ribosomal protein L27
ctrn:L3404_00436	CDS	complement(486229..486552)	50S ribosomal protein L21
ctrn:L3404_00437	tRNA	complement(486866..486942)	tRNA-Phe
ctrn:L3404_00438	CDS	487156..487803	hypothetical protein
ctrn:L3404_00439	CDS	487988..488149	hypothetical protein
ctrn:L3404_00440	CDS	488166..488327	Chlam_Verruc_Plancto small basic protein
ctrn:L3404_00441	CDS	488349..488825	metal-binding heat shock protein
ctrn:L3404_00442	CDS	488958..490067	magnesium/cobalt efflux protein CorC
ctrn:L3404_00443	CDS	490256..490606	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
ctrn:L3404_00444	CDS	490784..492649	hypothetical protein
ctrn:L3404_00445	CDS	492846..493955	hypothetical protein
ctrn:L3404_00446	CDS	493928..494749	hypothetical protein
ctrn:L3404_00447	CDS	494721..495374	ubiquinone/menaquinone biosynthesis methyltransferase
ctrn:L3404_00448	CDS	complement(495400..496389)	hypothetical protein
ctrn:L3404_00449	CDS	complement(496450..497277)	diaminopimelate epimerase
ctrn:L3404_00450	CDS	complement(497246..497824)	ATP-dependent Clp protease proteolytic subunit
ctrn:L3404_00451	CDS	complement(497836..499329)	serine hydroxymethyltransferase
ctrn:L3404_00452	CDS	499693..500364	uroporphyrinogen-III synthase
ctrn:L3404_00453	CDS	500467..501003	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ctrn:L3404_00454	CDS	complement(501000..502052)	sulfite reductase
ctrn:L3404_00455	CDS	complement(502069..502386)	30S ribosomal protein S10
ctrn:L3404_00456	CDS	complement(502394..504478)	elongation factor G
ctrn:L3404_00457	CDS	complement(504520..504993)	30S ribosomal protein S7
ctrn:L3404_00458	CDS	complement(505043..505414)	30S ribosomal protein S12
ctrn:L3404_00459	CDS	505674..506012	hypothetical protein
ctrn:L3404_00460	CDS	506170..508119	carboxy-terminal protease
ctrn:L3404_00461	CDS	complement(508226..508678)	Chlamydia 15 kDa cysteine-rich outer membrane protein (CRPA)
ctrn:L3404_00462	CDS	complement(508856..510499)	hypothetical protein
ctrn:L3404_00463	CDS	complement(510664..510930)	Chlamydia cysteine-rich outer membrane protein 3
ctrn:L3404_00464	CDS	511267..511491	hypothetical protein
ctrn:L3404_00465	CDS	complement(511488..513008)	glutamyl-tRNA synthetase
ctrn:L3404_00466	CDS	complement(513279..513830)	DNA binding domain, excisionase family
ctrn:L3404_00467	CDS	complement(514234..515988)	ssDNA exonuclease RecJ
ctrn:L3404_00468	CDS	complement(516106..520308)	bifunctional preprotein translocase subunit SecD/SecF
ctrn:L3404_00469	CDS	complement(520728..521060)	hypothetical protein
ctrn:L3404_00470	CDS	521522..522283	undecaprenyl pyrophosphate synthase
ctrn:L3404_00471	CDS	522289..523206	CDP-diglyceride synthase
ctrn:L3404_00472	CDS	523203..523853	cytidylate kinase
ctrn:L3404_00473	CDS	523850..524500	2-acyl-glycerophospho-ethanolamine acyltransferase
ctrn:L3404_00474	CDS	524515..526206	arginyl-tRNA synthetase
ctrn:L3404_00475	CDS	complement(526244..527578)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ctrn:L3404_00476	CDS	527791..531276	hypothetical protein
ctrn:L3404_00477	CDS	complement(531328..532044)	hypothetical protein
ctrn:L3404_00478	CDS	complement(532227..532730)	putative acetyltransferase YhhY
ctrn:L3404_00479	CDS	complement(532727..533716)	peptide chain release factor 2
ctrn:L3404_00480	CDS	534154..534414	DNA topoisomerase I/SWI domain fusion protein
ctrn:L3404_00481	CDS	534484..535461	phosphodiesterase YaeI
ctrn:L3404_00482	CDS	535451..536110	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ctrn:L3404_00483	CDS	536119..536922	tRNA pseudouridine synthase A
ctrn:L3404_00484	CDS	complement(536874..537548)	2-deoxyglucose-6-phosphatase
ctrn:L3404_00485	CDS	537641..538282	hypothetical protein
ctrn:L3404_00486	tRNA	538411..538495	tRNA-Leu
ctrn:L3404_00487	CDS	538576..538905	hypothetical protein
ctrn:L3404_00488	CDS	538883..539941	sensory histidine kinase AtoS
ctrn:L3404_00489	CDS	539984..541144	acetoacetate metabolism regulatory protein AtoC
ctrn:L3404_00490	tRNA	541211..541285	tRNA-Arg
ctrn:L3404_00491	CDS	541371..541907	hypothetical protein
ctrn:L3404_00492	CDS	541877..542608	DNA repair protein RecO
ctrn:L3404_00493	CDS	complement(542605..543186)	hypothetical protein
ctrn:L3404_00494	tRNA	complement(543337..543420)	tRNA-Leu
ctrn:L3404_00495	CDS	543672..544466	putative ACR, YagE family
ctrn:L3404_00496	CDS	544472..544786	hypothetical protein
ctrn:L3404_00497	CDS	complement(544725..545654)	hypothetical protein
ctrn:L3404_00498	CDS	545742..548114	phenylalanyl-tRNA synthetase subunit beta
ctrn:L3404_00499	CDS	548111..549076	hypothetical protein
ctrn:L3404_00500	CDS	549095..549607	methylated-DNA--protein-cysteine methyltransferase
ctrn:L3404_00501	CDS	complement(549604..551340)	microcin C ABC transporter permease
ctrn:L3404_00502	CDS	complement(551342..552820)	microcin C ABC transporter permease YejB
ctrn:L3404_00503	CDS	complement(552802..554892)	putative ABC transporter periplasmic-binding protein
ctrn:L3404_00504	CDS	complement(555143..555304)	hypothetical protein
ctrn:L3404_00505	CDS	complement(555498..556229)	outer membrane N-deacetylase
ctrn:L3404_00506	CDS	complement(556214..556375)	hypothetical protein
ctrn:L3404_00507	CDS	complement(556391..557044)	hypothetical protein
ctrn:L3404_00508	CDS	557521..557877	hypothetical protein
ctrn:L3404_00509	CDS	complement(557856..558854)	hypothetical protein
ctrn:L3404_00510	CDS	complement(559011..559955)	ferrochelatase
ctrn:L3404_00511	CDS	complement(559977..560762)	glutamine ABC transporter periplasmic protein
ctrn:L3404_00512	CDS	complement(560808..561380)	16S rRNA m(2)G966-methyltransferase
ctrn:L3404_00513	CDS	complement(561377..562111)	putative phosphoesterase or phosphohydrolase
ctrn:L3404_00514	CDS	complement(562200..563525)	glucose-1-phosphate adenylyltransferase
ctrn:L3404_00515	CDS	563717..563968	hypothetical protein
ctrn:L3404_00516	CDS	complement(563978..565372)	hypothetical protein
ctrn:L3404_00517	CDS	complement(565369..565977)	dephospho-CoA kinase
ctrn:L3404_00518	CDS	complement(565971..568571)	DNA polymerase I
ctrn:L3404_00519	CDS	complement(568588..569583)	putative inner membrane peptidase
ctrn:L3404_00520	CDS	complement(569723..571345)	ADP/ATP carrier protein family protein
ctrn:L3404_00521	CDS	complement(571557..572063)	phosphatidylglycerophosphate synthetase
ctrn:L3404_00522	tRNA	complement(572244..572334)	tRNA-Ser
ctrn:L3404_00523	CDS	572577..573995	replicative DNA helicase
ctrn:L3404_00524	CDS	574290..576122	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
ctrn:L3404_00525	CDS	576112..576813	lipoate-protein ligase A
ctrn:L3404_00526	CDS	complement(576870..577295)	mulitfunctional nucleoside diphosphate kinase/apyrimidinic endonuclease/3'-
ctrn:L3404_00527	CDS	complement(577455..578057)	Holliday junction DNA helicase RuvA
ctrn:L3404_00528	CDS	complement(578077..578589)	Holliday junction resolvase
ctrn:L3404_00529	CDS	complement(578697..579251)	hypothetical protein
ctrn:L3404_00530	tRNA	complement(579335..579418)	tRNA-Leu
ctrn:L3404_00531	CDS	complement(579538..580404)	hypothetical protein
ctrn:L3404_00532	CDS	complement(580415..581419)	glyceraldehyde-3-phosphate dehydrogenase A
ctrn:L3404_00533	CDS	complement(581463..581888)	50S ribosomal protein L17
ctrn:L3404_00534	CDS	complement(581897..583030)	DNA-directed RNA polymerase subunit alpha
ctrn:L3404_00535	CDS	complement(583051..583449)	30S ribosomal protein S11
ctrn:L3404_00536	CDS	complement(583471..583839)	30S ribosomal protein S13
ctrn:L3404_00537	CDS	complement(583895..585268)	preprotein translocase subunit SecY
ctrn:L3404_00538	CDS	complement(585291..585725)	50S ribosomal protein L15
ctrn:L3404_00539	CDS	complement(585718..586215)	30S ribosomal protein S5
ctrn:L3404_00540	CDS	complement(586230..586601)	50S ribosomal protein L18
ctrn:L3404_00541	CDS	complement(586623..587174)	50S ribosomal protein L6
ctrn:L3404_00542	CDS	complement(587202..587603)	30S ribosomal protein S8
ctrn:L3404_00543	CDS	complement(587621..588163)	50S ribosomal protein L5
ctrn:L3404_00544	CDS	complement(588165..588500)	50S ribosomal protein L24
ctrn:L3404_00545	CDS	complement(588513..588881)	50S ribosomal protein L14
ctrn:L3404_00546	CDS	complement(588898..589149)	30S ribosomal protein S17
ctrn:L3404_00547	CDS	complement(589142..589360)	50S ribosomal protein L29
ctrn:L3404_00548	CDS	complement(589362..589778)	50S ribosomal protein L16
ctrn:L3404_00549	CDS	complement(589811..590485)	30S ribosomal protein S3
ctrn:L3404_00550	CDS	complement(590495..590830)	50S ribosomal protein L22
ctrn:L3404_00551	CDS	complement(590849..591115)	30S ribosomal protein S19
ctrn:L3404_00552	CDS	complement(591121..591975)	50S ribosomal protein L2
ctrn:L3404_00553	CDS	complement(591999..592334)	50S ribosomal protein L23
ctrn:L3404_00554	CDS	complement(592350..593018)	50S ribosomal protein L4
ctrn:L3404_00555	CDS	complement(593027..593692)	50S ribosomal protein L3
ctrn:L3404_00556	CDS	complement(594127..595023)	hypothetical protein
ctrn:L3404_00557	CDS	complement(595189..596139)	methionyl-tRNA formyltransferase
ctrn:L3404_00558	CDS	complement(596129..596971)	UDP-N-acetylglucosamine acyltransferase
ctrn:L3404_00559	CDS	complement(596983..597444)	(3R)-hydroxymyristoyl-ACP dehydratase
ctrn:L3404_00560	CDS	complement(597441..598301)	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
ctrn:L3404_00561	CDS	complement(598401..600029)	apolipoprotein N-acyltransferase
ctrn:L3404_00562	CDS	complement(600093..600575)	acyl-CoA esterase
ctrn:L3404_00563	CDS	complement(600711..601463)	DNA polymerase III subunit epsilon
ctrn:L3404_00564	CDS	complement(601467..601940)	ADP-binding protein
ctrn:L3404_00565	CDS	complement(601919..602635)	hypothetical protein
ctrn:L3404_00566	tRNA	603099..603184	tRNA-Ser
ctrn:L3404_00567	CDS	603357..603665	thioredoxin
ctrn:L3404_00568	CDS	complement(603715..604170)	putative rRNA methylase
ctrn:L3404_00569	CDS	complement(604186..604890)	FKBP-type peptidyl-prolyl cis-trans isomerase
ctrn:L3404_00570	CDS	complement(605055..606803)	aspartyl-tRNA synthetase
ctrn:L3404_00571	CDS	complement(606784..608070)	histidyl-tRNA synthetase
ctrn:L3404_00572	CDS	608506..609876	regulatory protein UhpC
ctrn:L3404_00573	CDS	609890..613603	DNA polymerase III subunit alpha
ctrn:L3404_00574	CDS	complement(613832..614701)	hypothetical protein
ctrn:L3404_00575	CDS	614853..615809	DNA uptake lipoprotein
ctrn:L3404_00576	CDS	615834..616418	hypothetical protein
ctrn:L3404_00577	CDS	616405..616845	serine-protein kinase RsbW
ctrn:L3404_00578	CDS	complement(616852..617277)	hypothetical protein
ctrn:L3404_00579	CDS	617385..618698	D-alanyl-D-alanine carboxypeptidase fraction C
ctrn:L3404_00580	CDS	618831..619238	hypothetical protein
ctrn:L3404_00581	CDS	619235..620341	16S rRNA methyltransferase B
ctrn:L3404_00582	CDS	620491..621726	branched-chain amino acid transport system 2 carrier protein BrnQ
ctrn:L3404_00583	CDS	621900..625499	ATP-dependent helicase HepA
ctrn:L3404_00584	CDS	625678..626157	hypothetical protein
ctrn:L3404_00585	CDS	626366..627763	dihydrolipoamide dehydrogenase
ctrn:L3404_00586	CDS	627760..628695	lipoyl synthase
ctrn:L3404_00587	CDS	628799..629776	flagellar MS-ring protein
ctrn:L3404_00588	CDS	629777..630613	hypothetical protein
ctrn:L3404_00589	CDS	630889..631560	type III secretion system protein
ctrn:L3404_00590	CDS	631573..632493	type III secretion system protein
ctrn:L3404_00591	CDS	632505..632789	flagellar biosynthesis protein FliQ
ctrn:L3404_00592	CDS	632796..633665	flagellar biosynthesis protein FliR
ctrn:L3404_00593	CDS	complement(633744..634187)	hypothetical protein
ctrn:L3404_00594	CDS	complement(634277..635269)	hypothetical protein
ctrn:L3404_00595	CDS	complement(635275..635799)	hypothetical protein
ctrn:L3404_00596	CDS	complement(635784..636212)	hypothetical protein
ctrn:L3404_00597	CDS	complement(636223..636597)	hypothetical protein
ctrn:L3404_00598	CDS	complement(636614..637789)	type IV pilin biogenesis protein
ctrn:L3404_00599	CDS	complement(637801..639306)	hypothetical protein
ctrn:L3404_00600	CDS	complement(639290..641572)	putative outer membrane porin HofQ
ctrn:L3404_00601	CDS	complement(641573..642802)	hypothetical protein
ctrn:L3404_00602	CDS	complement(642931..644001)	aminopeptidase
ctrn:L3404_00603	CDS	complement(644012..645742)	DNA mismatch repair protein
ctrn:L3404_00604	CDS	646022..646720	chaperone protein SicA
ctrn:L3404_00605	CDS	646737..647096	hypothetical protein
ctrn:L3404_00606	CDS	647133..648596	Secretion system effector C (SseC) like family protein
ctrn:L3404_00607	CDS	648627..649946	Secretion system effector C (SseC) like family protein
ctrn:L3404_00608	CDS	complement(650024..651007)	putative DMT superfamily transporter inner membrane protein
ctrn:L3404_00609	CDS	651312..653219	threonyl-tRNA synthetase
ctrn:L3404_00610	CDS	653671..654438	plasmid-partitioning protein RepA
ctrn:L3404_00611	CDS	654443..655234	hypothetical protein
ctrn:L3404_00612	CDS	655200..655751	hypothetical protein
ctrn:L3404_00613	CDS	655930..656970	tryptophanyl-tRNA synthetase
ctrn:L3404_00614	CDS	656995..659001	excinuclease ABC subunit B
ctrn:L3404_00615	CDS	659163..660437	enolase
ctrn:L3404_00616	CDS	660566..662518	Signal transduction histidine kinase involved in nitrogen fixation and metabolism regulation
ctrn:L3404_00617	CDS	662643..664451	hypothetical protein
ctrn:L3404_00618	CDS	complement(664466..667330)	hypothetical protein
ctrn:L3404_00619	CDS	complement(667427..668086)	succinate dehydrogenase iron-sulfur subunit
ctrn:L3404_00620	CDS	complement(668204..670084)	succinate dehydrogenase flavoprotein subunit
ctrn:L3404_00621	CDS	complement(670081..670650)	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit
ctrn:L3404_00622	CDS	complement(670740..671144)	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit
ctrn:L3404_00623	CDS	complement(671089..671880)	putative DNAse
ctrn:L3404_00624	CDS	complement(671965..674043)	thiol:disulfide interchange protein precursor
ctrn:L3404_00625	CDS	674196..674894	colicin uptake protein TolQ
ctrn:L3404_00626	CDS	674891..675298	biopolymer transport protein ExbD
ctrn:L3404_00627	CDS	675301..676008	hypothetical protein
ctrn:L3404_00628	CDS	676008..677303	translocation protein TolB
ctrn:L3404_00629	CDS	677300..677866	peptidoglycan-associated outer membrane lipoprotein
ctrn:L3404_00630	CDS	677856..678458	LysM domain protein
ctrn:L3404_00631	CDS	678529..678921	hypothetical protein
ctrn:L3404_00632	CDS	complement(678918..679505)	peroxidase
ctrn:L3404_00633	tRNA	complement(679529..679603)	tRNA-Arg
ctrn:L3404_00634	CDS	complement(679713..681314)	chaperonin GroEL
ctrn:L3404_00635	CDS	complement(681394..682620)	hypothetical protein
ctrn:L3404_00636	CDS	682816..683445	dITP/XTP pyrophosphatase
ctrn:L3404_00637	CDS	complement(683419..683646)	hypothetical protein
ctrn:L3404_00638	CDS	complement(683643..684332)	uracil-DNA glycosylase
ctrn:L3404_00639	CDS	684350..686317	DNA-dependent helicase II
ctrn:L3404_00640	CDS	686321..687631	RNA polymerase factor sigma-54
ctrn:L3404_00641	CDS	complement(687739..688419)	pyrroloquinoline quinone biosynthesis protein PqqC
ctrn:L3404_00642	CDS	complement(688431..689162)	F420-0--gamma-glutamyl ligase
ctrn:L3404_00643	CDS	complement(689134..689613)	dihydrofolate reductase
ctrn:L3404_00644	CDS	complement(689610..690962)	dihydropteroate synthase
ctrn:L3404_00645	CDS	complement(690959..691327)	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase
ctrn:L3404_00646	CDS	complement(691352..693061)	RNA polymerase sigma factor
ctrn:L3404_00647	CDS	complement(693216..694475)	hypothetical protein
ctrn:L3404_00648	CDS	694954..695250	30S ribosomal protein S20
ctrn:L3404_00649	CDS	695482..696282	hypothetical protein
ctrn:L3404_00650	CDS	complement(696338..698965)	hypothetical protein
ctrn:L3404_00651	CDS	699090..701597	hypothetical protein
ctrn:L3404_00652	CDS	complement(701661..704159)	hypothetical protein
ctrn:L3404_00653	CDS	complement(704387..706342)	hypothetical protein
ctrn:L3404_00654	CDS	complement(706450..707751)	hypothetical protein
ctrn:L3404_00655	CDS	complement(707995..709605)	integral membrane protein MviN
ctrn:L3404_00656	CDS	709778..710644	endonuclease IV
ctrn:L3404_00657	CDS	complement(710740..711369)	30S ribosomal protein S4
ctrn:L3404_00658	CDS	711753..712736	putative rhodanese-related sulfurtransferase
ctrn:L3404_00659	CDS	complement(712809..713684)	geranyltranstransferase
ctrn:L3404_00660	CDS	complement(713740..714357)	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
ctrn:L3404_00661	CDS	complement(714410..715093)	DNA-binding transcriptional regulator BasR
ctrn:L3404_00662	CDS	715273..715527	hypothetical protein
ctrn:L3404_00663	tRNA	715626..715702	tRNA-Pro
ctrn:L3404_00664	CDS	complement(715708..717297)	FAD-dependent thymidylate synthase
ctrn:L3404_00665	CDS	717595..718611	delta-aminolevulinic acid dehydratase
ctrn:L3404_00666	CDS	complement(718637..720034)	Na(+)-translocating NADH-quinone reductase subunit A
ctrn:L3404_00667	CDS	complement(720056..720490)	hypothetical protein
ctrn:L3404_00668	CDS	720604..722751	transcript cleavage factor/unknown domain fusion protein
ctrn:L3404_00669	tRNA	complement(722760..722832)	tRNA-Ala
ctrn:L3404_00670	CDS	722939..724141	aromatic amino acid aminotransferase
ctrn:L3404_00671	CDS	724116..725126	rod shape-determining protein MreC
ctrn:L3404_00672	CDS	complement(725142..728222)	exonuclease V subunit beta
ctrn:L3404_00673	CDS	complement(728224..731244)	Exonuclease V gamma subunit
ctrn:L3404_00674	CDS	731257..732936	2-acyl-glycerophospho-ethanolamine acyltransferase
ctrn:L3404_00675	CDS	complement(732956..733759)	hypothetical protein
ctrn:L3404_00676	CDS	734666..737239	DNA topoisomerase I/SWI domain fusion protein
ctrn:L3404_00677	CDS	complement(737269..738273)	tRNA-dihydrouridine synthase B
ctrn:L3404_00678	CDS	complement(738252..738548)	YGGT family protein
ctrn:L3404_00679	CDS	738653..740032	hypothetical protein
ctrn:L3404_00680	CDS	740032..740610	hypothetical protein
ctrn:L3404_00681	CDS	740601..741875	MORN repeat variant
ctrn:L3404_00682	CDS	741878..742414	5-formyltetrahydrofolate cyclo-ligase family protein
ctrn:L3404_00683	CDS	742674..743732	recombinase A
ctrn:L3404_00684	CDS	744018..745844	hypothetical protein
ctrn:L3404_00685	CDS	745841..747331	exonuclease V subunit alpha
ctrn:L3404_00686	CDS	747397..747576	hypothetical protein
ctrn:L3404_00687	CDS	complement(747677..748396)	lipopolysaccharide ABC transporter ATP-binding protein
ctrn:L3404_00688	CDS	complement(748405..748893)	hypothetical protein
ctrn:L3404_00689	CDS	complement(748890..749699)	2-dehydro-3-deoxyphosphooctonate aldolase
ctrn:L3404_00690	tRNA	750005..750079	tRNA-Arg
ctrn:L3404_00691	CDS	750185..750478	hypothetical protein
ctrn:L3404_00692	CDS	750556..750795	hypothetical protein
ctrn:L3404_00693	CDS	750877..751884	23S rRNA pseudouridine synthase D
ctrn:L3404_00694	CDS	751984..752220	hypothetical protein
ctrn:L3404_00695	CDS	complement(752359..753831)	DNA topoisomerase IV subunit A
ctrn:L3404_00696	CDS	complement(753846..755663)	DNA topoisomerase IV subunit B
ctrn:L3404_00697	CDS	756007..757050	glutamyl-tRNA reductase
ctrn:L3404_00698	CDS	757769..758170	Tir chaperone protein (CesT)
ctrn:L3404_00699	CDS	758174..760663	hypothetical protein
ctrn:L3404_00700	CDS	760707..760958	hypothetical protein
ctrn:L3404_00701	CDS	760985..761236	hypothetical protein
ctrn:L3404_00702	CDS	761255..761704	putative PEP-CTERM system TPR-repeat lipoprotein
ctrn:L3404_00703	CDS	761724..762395	hypothetical protein
ctrn:L3404_00704	CDS	762397..763725	type III secretion system ATPase
ctrn:L3404_00705	CDS	763748..764254	hypothetical protein
ctrn:L3404_00706	CDS	764258..765109	hypothetical protein
ctrn:L3404_00707	CDS	765119..766240	type III secretion system protein
ctrn:L3404_00708	CDS	766375..767847	serine/threonine-protein kinase
ctrn:L3404_00709	CDS	767844..770609	putative outer membrane porin HofQ
ctrn:L3404_00710	tRNA	770743..770815	tRNA-Thr
ctrn:L3404_00711	CDS	complement(770923..771993)	ATP:guanido phosphotransferase
ctrn:L3404_00712	CDS	complement(771983..772504)	hypothetical protein
ctrn:L3404_00713	tRNA	complement(772609..772681)	tRNA-Lys
ctrn:L3404_00714	tRNA	complement(772697..772773)	tRNA-Glu
ctrn:L3404_00715	CDS	complement(772875..773414)	ribosome recycling factor
ctrn:L3404_00716	CDS	complement(773411..774145)	uridylate kinase
ctrn:L3404_00717	CDS	complement(774161..775009)	elongation factor Ts
ctrn:L3404_00718	CDS	complement(775006..775854)	30S ribosomal protein S2
ctrn:L3404_00719	tRNA	complement(775937..776007)	tRNA-Gly
ctrn:L3404_00720	CDS	complement(776236..777429)	Chlamydia major outer membrane protein
ctrn:L3404_00721	CDS	778037..781279	penicillin-binding protein 2
ctrn:L3404_00722	CDS	781343..782350	lipoprotein NlpI
ctrn:L3404_00723	CDS	782692..784143	cysteine desulfurase activator complex subunit SufB
ctrn:L3404_00724	CDS	784146..784913	cysteine desulfurase ATPase component
ctrn:L3404_00725	CDS	784917..786104	cysteine desulfurase activator complex subunit SufD
ctrn:L3404_00726	CDS	786097..787302	bifunctional cysteine desulfurase/selenocysteine lyase
ctrn:L3404_00727	CDS	787438..788283	plasmid partitioning protein
ctrn:L3404_00728	CDS	complement(788275..789105)	dipeptide transporter ATP-binding subunit
